species,kappa,Delta,log10_Ww,n_maint,n_repro
Mytilus_edulis,0.9965,-0.1827,2.0924,1,1
Ictalurus_punctatus,0.9944,0.0683,4.3137,3,1
Dreissena_polymorpha,0.9932,1.496,0.9219,1,1
Carcinus_maenas,0.9851,-1.8633,2.1731,1,2
Salmo_trutta,0.9681,-2.6214,4.2423,1,2
Carassius_auratus,0.9576,-1.7516,3.183,5,2
Lithobates_catesbeianus,0.9556,1.3154,2.9251,1,1
Eurytemora_affinis,0.9383,1.4787,-4.4883,1,1
Pimephales_promelas,0.9326,-1.019,0.3107,5,5
Americamysis_bahia,0.9121,1.1827,-1.9015,5,3
Asellus_aquaticus,0.9089,-0.1331,-1.4281,2,1
Gammarus_pulex,0.8942,1.3909,-1.3012,3,2
Artemia_salina,0.8901,0.9591,-0.6271,3,1
Hyalella_azteca,0.8754,-0.3151,-1.8243,2,3
Pomatoschistus_minutus,0.8717,-1.5008,0.7538,1,1
Xenopus_laevis,0.7712,0.3951,2.3288,2,1
Paracentrotus_lividus,0.7582,-0.5017,2.1412,1,2
Lepomis_macrochirus,0.7525,0.4609,2.5181,4,1
Oncorhynchus_mykiss,0.6194,-0.4727,4.4413,6,4
Daphnia_magna,0.5809,0.9813,-2.3163,6,5
Oryzias_latipes,0.4705,1.3985,-0.1121,4,4
Ceriodaphnia_dubia,0.4562,1.1671,-4.4087,2,2
Chironomus_riparius,0.4424,1.627,3.629,3,3
Ceriodaphnia_reticulata,0.4251,1.7988,-3.6932,1,1
Salmo_salar,0.4175,1.2437,4.596,1,1
Danio_rerio,0.3576,-1.0882,0.066,4,4
Cyprinus_carpio,0.3392,0.9951,4.6778,5,1
