species,genus,k_M,L_m,g,A0
Abatus_cordatus,Abatus,0.005783592166791565,2.3529,2.0002624871647248,1539.9871108901957
Abbottina_rivularis,Abbottina,0.004570140400917326,3.0663,1.4429737936339864,3724.3089129148466
Ablennes_hians,Ablennes,0.0034325253896894435,11.1631,0.5949481599984405,8834.430045897388
Abra_segmentum,Abra,0.010725317346472377,0.3050300000000001,6.39636907745156,395.04318972436414
Abralia_multihamata,Abralia,2.1301674091500282,0.15282,0.09905011435939103,57932.00890526123
Abralia_trigonura,Abralia,0.06291735988090076,0.33123,0.8988433173439202,6306.34235763228
Abraliopsis_morisii,Abraliopsis,0.003619428803592288,5.3239,0.9303314248266155,11805.980288242645
Abramis_brama,Abramis,0.00446520572717655,11.4009,0.3224680815937022,24432.996417581242
Abroscopus_superciliaris,Abroscopus,0.07285736597190177,1.1918,0.40066147140408864,19057.374784492054
Abrothrix_andinus,Abrothrix,0.6279954266624286,1.0564,0.04230236986558673,195264.0571907212
Abrothrix_lanosus,Abrothrix,0.49726746621678386,1.0141000000000002,0.05565173937198596,152553.4321608898
Abrothrix_longipilis,Abrothrix,0.30007199067996015,1.4858,0.06294536529712137,128673.10216036721
Abrothrix_olivaceus,Abrothrix,0.47292361067878996,1.0577,0.05610428998874681,150473.27195258363
Abudefduf_vaigiensis,Abudefduf,0.0083911891652479,4.253,0.761634373747114,9286.749971854688
Acanthagenys_rufogularis,Acanthagenys,0.4241583279344497,1.2679,0.06003268813007001,130938.34994158061
Acantharchus_pomotis,Acantharchus,0.026359967971746386,2.5365,0.14195494688582166,36880.795994747066
Acanthaster_planci,Acanthaster,0.006215084932637259,0.56035,0.12894017537130023,35760.57458955642
Acanthis_flammea,Acanthis,0.12398159329747223,1.3253,0.2291543855219486,34385.29740207863
Acanthis_hornemanni,Acanthis,0.058906865580681735,1.5731000000000002,0.5122461323303394,14948.871263793942
Acanthisitta_chloris,Acanthisitta,0.06721061201078085,1.013,0.28342783634382224,37634.55128188321
Acanthiza_chrysorrhoa,Acanthiza,0.1277974624182581,1.4406,0.134569928692383,61997.43009574207
Acanthiza_inornata,Acanthiza,0.11478577422366351,1.3124,0.15882388269844885,54650.837994627975
Acanthiza_lineata,Acanthiza,1.11664377560024,0.60085,0.03476340578101066,213124.05791706764
Acanthiza_pusilla,Acanthiza,1.940315273036307,0.58102,0.031275668886660925,235886.8776940422
Acanthiza_uropygialis,Acanthiza,1.1213964410425,0.61717,0.044398706063506654,166488.38784127167
Acanthobrama_marmid,Acanthobrama,0.006066833958714234,4.0315,1.0406632168907235,5540.274242646409
Acanthobrama_microlepis,Acanthobrama,0.003778534563302101,4.1422,1.5859237676293645,4026.4862700277204
Acanthobrama_thisbeae,Acanthobrama,0.002497870900299715,3.5996,2.7984717444136114,7148.601773288413
Acanthobrama_urmianus,Acanthobrama,0.0030692186242713857,3.177,2.545609198278554,2416.8178337510594
