species,k_M,R_i,r_B,kap_R,k_J,Ww_i
Abatus_cordatus,0.005783592166791565,39.756884382922166,0.0002454543071311587,0.95,0.002,317.1145268437318
Abbottina_rivularis,0.004570140400917326,9.339255542542526,0.0007459920562955869,0.95,0.002,78.75354675059852
Ablennes_hians,0.0034325253896894435,550.1609382110381,0.0008734418316302653,0.95,0.002,33617.14407319423
Abra_segmentum,0.010725317346472377,66.30782284256985,0.0022100170024436467,0.95,0.002,0.6230851122050899
Abralia_multihamata,2.1301674091500282,1431.9123584680406,0.09674133623949077,0.95,0.002,12.790400717989236
Abralia_trigonura,0.06291735988090076,245.11241436007,0.008039955850278809,0.95,0.002,9.728323372662228
Abraliopsis_morisii,0.003619428803592288,3859.7563041122485,0.0006379935518519677,0.95,0.002,3024.373298614368
Abramis_brama,0.00446520572717655,2044.4459060345002,0.000300890193122227,0.95,0.0012452,9350.413533206969
Abroscopus_superciliaris,0.07285736597190177,0.008715210969418479,0.05712217060025944,0.95,0.021838,6.699504012252214
Abrothrix_andinus,0.6279954266624286,0.034190873219047374,0.03952388604539286,0.95,0.002,34.52320988644948
Abrothrix_lanosus,0.49726746621678386,0.03402397768702615,0.04065184920180583,0.95,0.002,24.087982823991855
Abrothrix_longipilis,0.30007199067996015,0.034262864172712314,0.027555637289599137,0.95,0.002,64.41405135973581
Abrothrix_olivaceus,0.47292361067878996,0.03428363227548941,0.03895941661930049,0.95,0.002,26.97384365834216
Abudefduf_vaigiensis,0.0083911891652479,265.3592649210414,0.002541154321455061,0.95,0.002,240.88679120575952
Acanthagenys_rufogularis,0.4241583279344497,0.006827818960252749,0.056889720879119636,0.95,0.002,43.457185122403196
Acantharchus_pomotis,0.026359967971746386,9.927583583120873,0.0011984416137784297,0.95,0.002,147.13327396524664
Acanthaster_planci,0.006215084932637259,536188.1004167905,0.0005334174336407392,0.95,0.002,848.7416045989067
Acanthis_flammea,0.12398159329747223,0.026913075913076304,0.06335279620146844,0.95,0.03709,14.749813122284449
Acanthis_hornemanni,0.058906865580681735,0.01224096789011236,0.054690130159579,0.95,0.017328,12.924251414725838
Acanthisitta_chloris,0.06721061201078085,0.016446200458665645,0.040681385345626014,0.95,0.020054,7.110956899346803
Acanthiza_chrysorrhoa,0.1277974624182581,0.018947229125258543,0.04154567514268202,0.95,0.038265,31.75582553067391
Acanthiza_inornata,0.11478577422366351,0.01628318355507712,0.04311945631551027,0.95,0.034851,21.432701359412366
Acanthiza_lineata,1.11664377560024,0.008354247989196735,0.09048983753868511,0.95,0.002,7.391687148426079
Acanthiza_pusilla,1.940315273036307,0.008195545813491774,0.14194105870622073,0.95,0.002,7.376635285074672
Acanthiza_uropygialis,1.1213964410425,0.008225266599565136,0.11499185095341506,0.95,0.002,6.3090899798252345
Acanthobrama_marmid,0.006066833958714234,57.72247868637756,0.000854999777984859,0.95,0.0017362,238.184660560542
Acanthobrama_microlepis,0.003778534563302101,25.764675532505326,0.0006404054423952921,0.95,0.0014509,194.91263020330373
Acanthobrama_thisbeae,0.002497870900299715,23.542311079277628,0.000738025090126241,0.95,0.00043952,119.13645277993938
Acanthobrama_urmianus,0.0030692186242713857,10.300736088853963,0.0009684254944832721,0.95,0.0011152,67.32856900645868
Acanthochaenus_luetkenii,0.03296377699959773,9.745311776981369,0.0005011126920280323,0.95,0.002,43.394105294564795
Acanthochromis_polyacanthus,0.005089233115732328,3.016761430805428,0.0026119900185806694,0.95,0.002,152.07068203877478
Acanthoclinus_littoreus,0.004076088231864599,47.407776845035286,0.0007594619827268308,0.95,0.002,49.31184334667569
Acanthocobitis_mooreh,0.0036538774606324083,17.075232476753097,0.0022404430042383453,0.95,0.0022607,3.6408906252214415
Acanthocybium_solandri,0.009737650000348897,16778.433224341403,0.0015913226447522347,0.95,0.002,110336.40883820037
Acanthocyclops_robustus,0.3127677556067325,36.823518883570216,0.07896046752464832,0.95,0.002,2.320248454344899e-5
Acanthodactylus_boskianus,0.0076222065565383626,0.026197735296978112,0.0011123925735785753,0.95,0.002,4.015509461576381
Acanthodactylus_erythrurus,0.006296409380625318,0.019173348135590178,0.002352388508629162,0.95,0.002,6.099018640452974
Acanthodactylus_harranensis,0.003270794375093537,0.026661105814888248,0.0005585112482548629,0.95,0.002,8.631098583879544
Acanthogobius_flavimanus,0.3460932469299736,101.59427005149638,0.003056926905114138,0.95,0.002,190.5020535587164
Acanthopagrus_arabicus,0.002776008350691017,2762.8957959252584,0.0009268413034115883,0.95,0.002,1429.933248993856
Acanthopagrus_australis,0.0027921138399528062,7989.106153098579,0.000556879882585591,0.95,0.002,4508.79762649296
Acanthopagrus_berda,0.005225955949820047,4659.591738770427,0.001279849490884145,0.95,0.002,3527.0680494923017
Acanthopagrus_bifasciatus,0.003943002966901384,425.47818185695456,0.001270885758535129,0.95,0.002,786.08879296043
Acanthopagrus_butcheri,0.003332434330559259,8980.281224229282,0.0004297504462577164,0.95,0.002,3471.160239136155
Acanthopagrus_latus,0.007590625845490503,16361.099486542094,0.002126279956877821,0.95,0.002,1456.9881508781837
Acanthopagrus_schlegelii,0.005491803984077459,1697.9696920104068,0.0010249994805927804,0.95,0.002,3083.9778651451275
Acanthophis_antarcticus,0.002351067667841068,0.05598057183211642,0.0008101983699240456,0.95,0.002,2008.9573016832967
Acanthorhynchus_tenuirostris,1.249821387477632,0.007320491168174259,0.09018865092117381,0.95,0.002,9.069239825763859
Acanthurus_bahianus,0.0033445357656607254,84.25291715417114,0.001989534331323933,0.95,0.002,76.4619807105504
Acanthurus_blochii,0.0027815546435048786,2075.1933533647434,0.0013604827849602763,0.95,0.002,1833.6185963085643
Acanthurus_dussumieri,0.0029268102571038926,4265.600132593417,0.0012890423578399066,0.95,0.002,3756.4000176117734
Acanthurus_leucosternon,0.003490430303847918,3016.2245731056637,0.001030754939824311,0.95,0.002,2490.6492532427956
Acanthurus_lineatus,0.003501367138951032,1756.8063932639525,0.0015816545834392707,0.95,0.002,1966.0533540233487
Acanthurus_nigricans,0.004290045092760843,1089.3200129405818,0.0019182817301031559,0.95,0.002,961.4229748455765
Acanthurus_nigricauda,0.004171709017373522,1747.2847807279097,0.0013622234268923174,0.95,0.002,1817.7194010030564
Acanthurus_nigrofuscus,0.00370906566958787,235.34508939067138,0.0019036701025508468,0.95,0.002,206.7692679431104
Acanthurus_olivaceus,0.0038272553161346028,1808.1087959286006,0.0017329116288522129,0.95,0.002,1997.73053800899
Acanthurus_triostegus,0.011184894413223151,377.2396215316887,0.0044948931727775455,0.95,0.002,418.16043677280004
Acanthurus_xanthopterus,0.002476620929448733,7707.701559446256,0.0011080378288138067,0.95,0.002,6807.539035164069
Acarichthys_heckelii,0.14109114851331972,95.25438274121993,0.005602691420398689,0.95,0.002,274.2976286998512
Accipiter_cooperii,0.045039242471540106,0.01109336597822347,0.020912069554009094,0.95,0.013479,511.5004933983513
Accipiter_fasciatus,0.1264757026723086,0.00821769863675771,0.014312716433303053,0.95,0.03807,587.5986948343373
Accipiter_nisus,0.12481865231676074,0.012346726824269733,0.017069422580984674,0.95,0.037513,313.9217741602548
Accipiter_striatus,0.07189062159810114,0.010959097285842108,0.018179612411956047,0.95,0.021559,175.04617286642767
