species,Ww_i_g,Wd_i_g,L_i_cm
Abatus_cordatus,317.115,28.5403,5.66579
Abbottina_rivularis,78.7535,15.7507,3.51773
Ablennes_hians,33617.1,6723.43,22.5814
Abra_segmentum,0.623085,0.0560777,0.805831
Abralia_multihamata,12.7904,2.68598,0.994911
Abralia_trigonura,9.72832,2.04295,1.61607
Abraliopsis_morisii,3024.37,635.118,9.5771
Abramis_brama,9350.41,1870.08,11.4016
Abroscopus_superciliaris,6.6995,1.87586,1.1918
Abrothrix_andinus,34.5232,10.357,1.0564
Abrothrix_lanosus,24.088,7.22639,1.0141
Abrothrix_longipilis,64.4141,19.3242,1.4858
Abrothrix_olivaceus,26.9738,8.09215,1.0577
Abudefduf_vaigiensis,240.887,48.1774,4.30569
Acanthagenys_rufogularis,43.4572,12.168,1.2679
Acantharchus_pomotis,147.133,29.4267,2.53675
Acanthaster_planci,848.742,76.3867,3.59508
Acanthis_flammea,14.7498,4.12995,1.3253
Acanthis_hornemanni,12.9243,3.61879,1.5731
Acanthisitta_chloris,7.11096,1.99107,1.013
Acanthiza_chrysorrhoa,31.7558,8.89163,1.4406
Acanthiza_inornata,21.4327,6.00116,1.3124
Acanthiza_lineata,7.39169,2.06967,0.60085
Acanthiza_pusilla,7.37664,2.06546,0.58102
Acanthiza_uropygialis,6.30909,1.76655,0.61717
Acanthobrama_marmid,238.185,47.6369,4.7634
Acanthobrama_microlepis,194.913,38.9825,4.7021
Acanthobrama_thisbeae,119.136,23.8273,3.60015
Acanthobrama_urmianus,67.3286,13.4657,3.53427
Acanthochaenus_luetkenii,43.3941,8.67882,2.1394
Acanthochromis_polyacanthus,152.071,30.4141,4.8596
Acanthoclinus_littoreus,49.3118,9.86237,3.13456
Acanthocobitis_mooreh,3.64089,0.728178,1.47158
Acanthocybium_solandri,110336.0,22067.3,31.1614
Acanthocyclops_robustus,2.32025e-5,3.94442e-6,0.0255204
Acanthodactylus_boskianus,4.01551,1.20465,1.2585
Acanthodactylus_erythrurus,6.09902,1.82971,1.565
Acanthodactylus_harranensis,8.6311,2.58933,1.8104
Acanthogobius_flavimanus,190.502,38.1004,1.6817
Acanthopagrus_arabicus,1429.93,285.987,8.55426
Acanthopagrus_australis,4508.8,901.76,10.9875
Acanthopagrus_berda,3527.07,705.414,11.1013
Acanthopagrus_bifasciatus,786.089,157.218,7.02247
Acanthopagrus_butcheri,3471.16,694.232,10.3007
Acanthopagrus_latus,1456.99,291.398,7.21129
Acanthopagrus_schlegelii,3083.98,616.796,10.3382
Acanthophis_antarcticus,2008.96,602.687,9.5023
Acanthorhynchus_tenuirostris,9.06924,2.53939,0.60583
Acanthurus_bahianus,76.462,15.2924,4.01078
Acanthurus_blochii,1833.62,366.724,10.7849
Acanthurus_dussumieri,3756.4,751.28,13.4246
Acanthurus_leucosternon,2490.65,498.13,9.97489
Acanthurus_lineatus,1966.05,393.211,10.6676
Acanthurus_nigricans,961.423,192.285,8.54141
Acanthurus_nigricauda,1817.72,363.544,9.10348
Acanthurus_nigrofuscus,206.769,41.3539,5.33262
Acanthurus_olivaceus,1997.73,399.546,10.743
Acanthurus_triostegus,418.16,83.6321,6.20505
Acanthurus_xanthopterus,6807.54,1361.51,16.1647
Acarichthys_heckelii,274.298,54.8595,2.6448
Accipiter_cooperii,511.5,143.22,4.4556
Accipiter_fasciatus,587.599,164.528,2.9067
Accipiter_nisus,313.922,87.8981,2.4927
Accipiter_striatus,175.046,49.0129,2.499
Acentrogobius_pflaumii,192.196,38.4391,3.9777
Acentrogobius_viridipunctatus,59.2114,11.8423,3.2624
Achatina_achatina,139.668,20.9502,4.98801
Achirus_mazatlanus,227.23,45.446,5.35597
Achoerodus_gouldii,18853.5,3770.7,20.0384
Achoerodus_viridis,3305.56,661.111,13.5656
Achondrostoma_arcasii,335.39,67.0781,5.67682
Acinonyx_jubatus,43988.5,13196.6,9.5771
Acipenser_baerii,114613.0,22922.6,21.6328
Acipenser_brevirostrum,23496.5,4699.29,16.9608
Acipenser_dabryanus,126933.0,25386.6,27.1692
Acipenser_fulvescens,130543.0,26108.7,27.0259
Acipenser_gueldenstaedtii,110703.0,22140.6,20.4335
Acipenser_medirostris,100958.0,20191.5,29.1553
Acipenser_nudiventris,74747.7,14949.5,33.5483
Acipenser_oxyrinchus,415357.0,83071.4,34.7
Acipenser_persicus,65059.3,13011.9,25.7947
Acipenser_ruthenus,5944.43,1188.89,14.552
Acipenser_schrenckii,191889.0,38377.9,29.4226
Acipenser_sinensis,363463.0,72692.5,27.4962
Acipenser_stellatus,76400.2,15280.0,24.8787
Acipenser_sturio,466621.0,93324.1,40.98
Acipenser_transmontanus,801515.0,160303.0,57.3772
Acomys_cahirinus,44.431,13.3293,1.4709
Acomys_russatus,54.1949,16.2585,1.288
Acomys_spinosissimus,30.8298,9.24895,0.81388
Acomys_subspinosus,25.6902,7.70705,0.89823
Aconaemys_fuscus,112.03,33.6089,1.704
Acontias_meleagris,586.339,175.902,6.0567
Acreichthys_tomentosus,65.796,13.1592,3.3798
Acridotheres_cristatellus,118.91,33.2948,2.0839
Acridotheres_tristis,113.419,31.7573,2.1925
Acrobates_pygmaeus,13.0731,3.92194,1.5405
Acrocephalus_arundinaceus,25.5913,7.16556,1.4287
Acrocephalus_bistrigiceps,8.28658,2.32024,0.84857
Acrocephalus_melanopogon,13.0061,3.64171,1.1981
Acrocephalus_orientalis,25.8407,7.23538,1.061
Acrocephalus_palustris,12.7013,3.55637,1.2551
Acrocephalus_schoenobaenus,11.6192,3.25336,0.8686
Acrocephalus_scirpaceus,11.5665,3.23861,1.3174
Acrocheilus_alutaceus,347.235,69.4471,6.71066
Acrocodia_indica,431228.0,129368.0,26.2429
Acroperus_harpae,7.8686e-5,1.33766e-5,0.038212
Acrossocheilus_fasciatus,69.8027,13.9605,3.37186
Acroteriobatus_annulatus,8014.46,1602.89,13.3739
Actinemys_marmorata,551.252,165.376,5.9077
Actinia_equina,55.7358,4.46984,2.1407
Actinonaias_ligamentina,175.772,15.8195,3.17864
Actitis_macularius,45.7025,12.7967,1.7867
Acyrthosiphon_pisum,0.00610974,0.00103866,0.131319
Acyrtops_beryllinus,0.108705,0.0217409,0.44683
Adamussium_colbecki,56.2101,8.9374,3.21196
Addax_nasomaculatus,92756.9,27827.1,33.1237
Adelomelon_beckii,3893.28,583.992,4.20805
Adelomelon_brasiliana,771.023,115.653,3.80889
Adelomyia_melanogenys,2.71248,0.759493,0.40225
Aedes_aegypti,605.201,102.884,0.137687
Aegithalos_caudatus,7.95688,2.22793,0.57549
Aegithina_lafresnayei,18.2477,5.10937,0.87586
Aegithina_tiphia,13.6214,3.814,0.92438
Aegolius_acadicus,123.008,34.4422,2.2793
Aegolius_funereus,117.006,32.7616,2.2995
Aegopinella_epipedostoma,0.168975,0.0253463,0.467461
Aegotheles_cristatus,60.0611,16.8171,1.6091
Aeorestes_cinereus,32.1843,9.6553,0.99235
Aepyceros_melampus,42882.7,12864.8,21.5864
Aepyprymnus_rufescens,3705.01,1111.5,4.922
Aequipecten_opercularis,106.732,9.60587,4.21333
Aequiyoldia_eightsii,5.25602,0.473041,1.65633
Aerodramus_bartschi,8.21085,2.29904,1.4131
Aerodramus_brevirostris,13.3075,3.72611,1.1999
Aerodramus_fuciphagus,11.7392,3.28698,1.3283
Aerodramus_hirundinaceus,10.3665,2.90261,1.0204
Aerodramus_maximus,17.4893,4.89701,1.0864
Aerodramus_spodiopygius,12.141,3.39947,1.2266
Aerodramus_vanikorensis,10.6018,2.96849,0.99689
Aeronautes_saxatalis,45.1508,12.6422,1.6243
Aethaloperca_rogaa,4525.34,905.069,14.9984
Aethia_cristatella,277.178,77.6099,2.04
Aethia_psittacula,267.043,74.772,2.966
Aethia_pusilla,87.2886,24.4408,2.3815
Aethia_pygmaea,112.561,31.5171,2.2759
Aethomyias_papuensis,11.0802,3.10245,0.90766
Aethomyias_perspicillatus,8.92966,2.5003,0.5828
Aethomys_chrysophilus,139.07,41.7211,2.1118
Aethomys_hindei,195.807,58.7422,2.0181
Aethomys_kaiseri,131.221,39.3663,2.2711
Aethopyga_christinae,5.6067,1.56988,0.55089
Aethopyga_siparaja,7.12431,1.99481,0.62085
Aethotaxis_mitopteryx,274.443,54.8886,2.74943
Aetobatus_flagellum,29950.0,5989.99,19.3966
Aetobatus_narinari,127942.0,25588.3,31.1544
Aetomylaeus_bovinus,113829.0,22765.8,32.5448
Afrotis_afra,698.017,195.445,3.129
Agalychnis_callidryas,57.5069,16.1019,3.6204
Agama_impalearis,70.6139,21.1842,1.8827
Agapornis_fischeri,53.1809,14.8907,1.3983
Agapornis_personatus,51.4648,14.4102,1.8304
Agapornis_roseicollis,56.5726,15.8403,1.8133
Agelaioides_badius,44.5653,12.4783,2.1036
Agelaius_phoeniceus,40.2569,11.2719,1.7617
Agkistrodon_piscivorus,2965.09,889.527,2.5561
Aglaeactis_castelnaudii,6.14628,1.72096,0.75046
Aglaeactis_cupripennis,7.82963,2.1923,0.63755
Aglaoctenus_lagotis,0.734558,0.124875,0.821305
Agonus_cataphractus,91.8084,18.3617,3.00945
Agosia_chrysogaster,10.9484,2.18968,1.61544
Ailia_coila,208.767,41.7535,5.42149
Ailuroedus_crassirostris,180.336,50.4942,3.07756
Ailuropoda_melanoleuca,134994.0,40498.2,22.4524
Ailurus_fulgens,4117.87,1235.36,6.2848
Aix_galericulata,539.574,151.081,3.5313
Aix_sponsa,613.621,171.814,3.2022
Akletos_goeldii,43.4922,12.1778,1.1568
Akodon_albiventer,35.9386,10.7816,1.2972
Akodon_azarae,25.4067,7.62201,0.84299
Akodon_dolores,49.6948,14.9084,1.5128
Akodon_molinae,54.2385,16.2716,1.3532
Alaemon_alaudipes,37.1257,10.3952,1.1162
Alaskozetes_antarcticus,0.000178874,8.22821e-5,0.0558683
Alasmidonta_heterodon,3.6464,0.328176,1.36768
Alauda_arvensis,25.23,7.0644,1.9684
Alaudala_rufescens,24.4414,6.8436,0.99245
Albatrossia_pectoralis,23017.4,4603.48,15.7773
Albula_glossodonta,11862.5,2372.49,13.3565
Albula_vulpes,8592.18,1718.44,19.1377
Alburnoides_bipunctatus,35.047,7.0094,2.85786
Alburnoides_eichwaldii_Kaboudval,26.3951,5.27902,0.680863
Alburnoides_eichwaldii_ShirAbad,25.236,5.04719,0.883637
Alburnoides_eichwaldii_Tajan,97.3309,19.4662,2.54265
Alburnoides_eichwaldii_ZarrinGol,16.8245,3.3649,2.43478
Alburnoides_namaki,11.397,2.27941,2.00816
Alburnoides_qanati,23.4175,4.6835,2.66915
Alburnoides_tabarestanensis,7.98336,1.59667,1.90814
Alburnus_alburnus,59.7824,11.9565,2.86975
Alburnus_baliki,48.1044,9.62088,3.3154
Alburnus_belvica,23.7001,4.74001,2.56598
Alburnus_chalcoides,634.271,126.854,6.43273
Alburnus_mossulensis,148.611,29.7223,4.16982
Alburnus_tarichi,207.073,41.4145,5.5879
Alburnus_vistonicus,97.7891,19.5578,3.7206
Alca_torda,719.638,201.499,3.6913
Alcedo_atthis,44.1985,12.3756,1.0636
Alcedo_meninting,19.4036,5.43301,1.1517
Alcelaphus_buselaphus,20082.4,6024.71,4.6854
