# Benzovindiflupyr fish survival (long), from Nickisch Born Gericke et al. 2022,
# ETC 41(7):1732-1741 (doi:10.1002/etc.5348) SI etc5348-sup-0004. Underlying acute
# data: Ashauer et al. 2013. conc_ugL = ug a.s./L; time_d days; nsurv = # alive.
species,sample,replicate,time_d,conc_ugL,nsurv
Cyprinodon_variegatus,acute 0 µg a.s./L,1,0,0,14
Cyprinodon_variegatus,acute 0 µg a.s./L,1,1,0,14
Cyprinodon_variegatus,acute 0 µg a.s./L,1,2,0,14
Cyprinodon_variegatus,acute 0 µg a.s./L,1,3,0,14
Cyprinodon_variegatus,acute 0 µg a.s./L,1,4,0,14
Cyprinodon_variegatus,acute 13.0 µg a.s./L,2,0,8.7,7
Cyprinodon_variegatus,acute 13.0 µg a.s./L,2,1,8.7,7
Cyprinodon_variegatus,acute 13.0 µg a.s./L,2,2,8.7,7
Cyprinodon_variegatus,acute 13.0 µg a.s./L,2,3,8.7,7
Cyprinodon_variegatus,acute 13.0 µg a.s./L,2,4,8.7,7
Cyprinodon_variegatus,acute 25.0 µg a.s./L,3,0,16,7
Cyprinodon_variegatus,acute 25.0 µg a.s./L,3,1,16,7
Cyprinodon_variegatus,acute 25.0 µg a.s./L,3,2,16,7
Cyprinodon_variegatus,acute 25.0 µg a.s./L,3,3,16,7
Cyprinodon_variegatus,acute 25.0 µg a.s./L,3,4,16,7
Cyprinodon_variegatus,acute 50.0 µg a.s./L,4,0,32,7
Cyprinodon_variegatus,acute 50.0 µg a.s./L,4,1,32,7
Cyprinodon_variegatus,acute 50.0 µg a.s./L,4,2,32,7
Cyprinodon_variegatus,acute 50.0 µg a.s./L,4,3,32,7
Cyprinodon_variegatus,acute 50.0 µg a.s./L,4,4,32,2
Cyprinodon_variegatus,acute 100 µg a.s./L,5,0,70,7
Cyprinodon_variegatus,acute 100 µg a.s./L,5,1,70,5
Cyprinodon_variegatus,acute 100 µg a.s./L,5,2,70,0
Cyprinodon_variegatus,acute 100 µg a.s./L,5,3,70,0
Cyprinodon_variegatus,acute 100 µg a.s./L,5,4,70,0
Cyprinodon_variegatus,acute 200 µg a.s./L,6,0,150,7
Cyprinodon_variegatus,acute 200 µg a.s./L,6,1,150,0
Cyprinodon_variegatus,acute 200 µg a.s./L,6,2,150,0
Cyprinodon_variegatus,acute 200 µg a.s./L,6,3,150,0
Cyprinodon_variegatus,acute 200 µg a.s./L,6,4,150,0
Cyprinus_carpio,acute 0 µg a.s./L,1,0,0,14
Cyprinus_carpio,acute 0 µg a.s./L,1,1,0,14
Cyprinus_carpio,acute 0 µg a.s./L,1,2,0,14
Cyprinus_carpio,acute 0 µg a.s./L,1,3,0,14
Cyprinus_carpio,acute 0 µg a.s./L,1,4,0,13
Cyprinus_carpio,acute 0.630 µg a.s./L,2,0,0.61,7
Cyprinus_carpio,acute 0.630 µg a.s./L,2,1,0.61,7
Cyprinus_carpio,acute 0.630 µg a.s./L,2,2,0.61,7
Cyprinus_carpio,acute 0.630 µg a.s./L,2,3,0.61,7
Cyprinus_carpio,acute 0.630 µg a.s./L,2,4,0.61,7
Cyprinus_carpio,acute 1.30 µg a.s./L,3,0,1.1,7
Cyprinus_carpio,acute 1.30 µg a.s./L,3,1,1.1,7
Cyprinus_carpio,acute 1.30 µg a.s./L,3,2,1.1,7
Cyprinus_carpio,acute 1.30 µg a.s./L,3,3,1.1,7
Cyprinus_carpio,acute 1.30 µg a.s./L,3,4,1.1,7
Cyprinus_carpio,acute 2.50 µg a.s./L,4,0,2.3,7
Cyprinus_carpio,acute 2.50 µg a.s./L,4,1,2.3,7
Cyprinus_carpio,acute 2.50 µg a.s./L,4,2,2.3,7
Cyprinus_carpio,acute 2.50 µg a.s./L,4,3,2.3,7
Cyprinus_carpio,acute 2.50 µg a.s./L,4,4,2.3,7
Cyprinus_carpio,acute 5.00 µg a.s./L,5,0,5.4,7
Cyprinus_carpio,acute 5.00 µg a.s./L,5,1,5.4,7
Cyprinus_carpio,acute 5.00 µg a.s./L,5,2,5.4,5
Cyprinus_carpio,acute 5.00 µg a.s./L,5,3,5.4,2
Cyprinus_carpio,acute 5.00 µg a.s./L,5,4,5.4,0
Cyprinus_carpio,acute 10.0 µg a.s./L,6,0,10,7
Cyprinus_carpio,acute 10.0 µg a.s./L,6,1,10,3
Cyprinus_carpio,acute 10.0 µg a.s./L,6,2,10,0
Cyprinus_carpio,acute 10.0 µg a.s./L,6,3,10,0
Cyprinus_carpio,acute 10.0 µg a.s./L,6,4,10,0
Lepomis_macrochirus,acute 0 µg a.s./L,1,0,0,14
Lepomis_macrochirus,acute 0 µg a.s./L,1,1,0,14
Lepomis_macrochirus,acute 0 µg a.s./L,1,2,0,14
Lepomis_macrochirus,acute 0 µg a.s./L,1,3,0,14
Lepomis_macrochirus,acute 0 µg a.s./L,1,4,0,14
Lepomis_macrochirus,acute 6.30 µg a.s./L,2,0,5.7,7
Lepomis_macrochirus,acute 6.30 µg a.s./L,2,1,5.7,7
Lepomis_macrochirus,acute 6.30 µg a.s./L,2,2,5.7,7
Lepomis_macrochirus,acute 6.30 µg a.s./L,2,3,5.7,7
Lepomis_macrochirus,acute 6.30 µg a.s./L,2,4,5.7,7
Lepomis_macrochirus,acute 13.0 µg a.s./L,3,0,11,7
Lepomis_macrochirus,acute 13.0 µg a.s./L,3,1,11,7
Lepomis_macrochirus,acute 13.0 µg a.s./L,3,2,11,7
Lepomis_macrochirus,acute 13.0 µg a.s./L,3,3,11,7
Lepomis_macrochirus,acute 13.0 µg a.s./L,3,4,11,7
Lepomis_macrochirus,acute 25.0 µg a.s./L,4,0,23,7
Lepomis_macrochirus,acute 25.0 µg a.s./L,4,1,23,7
Lepomis_macrochirus,acute 25.0 µg a.s./L,4,2,23,6
Lepomis_macrochirus,acute 25.0 µg a.s./L,4,3,23,5
Lepomis_macrochirus,acute 25.0 µg a.s./L,4,4,23,5
Lepomis_macrochirus,acute 50.0 µg a.s./L,5,0,47,7
Lepomis_macrochirus,acute 50.0 µg a.s./L,5,1,47,2
