amp_key,comadre_species,k_M,lambda_A0,g,comadre_log_damping,generation_time,class,order,family
Acipenser_fulvescens,Acipenser fulvescens,0.001022574641362545,0.001022574641362545,1.0,0.24793,11.5273,Actinopterygii,Acipenseriformes,Acipenseridae
Acipenser_transmontanus,Acipenser transmontanus,0.0011026505301757494,0.0011026505301757494,1.0,0.23861,16.0101,Actinopterygii,Acipenseriformes,Acipenseridae
Acyrthosiphon_pisum,Acyrthosiphon pisum,0.003475336322869955,0.003475336322869955,1.0,0.11184,3.7035,Insecta,Aphidomorpha,Aphididae
Ailuropoda_melanoleuca,Ailuropoda melanoleuca,0.0022208761646861806,0.0022208761646861806,1.0,0.11176,6.3224,Mammalia,Carnivora,Ursidae
Alces_alces,Alces alces,0.004810560930276891,0.004810560930276891,1.0,0.30556,8.8736,Mammalia,Artiodactyla,Cervidae
Alytes_muletensis,Alytes muletensis,0.010743077192391474,0.05258719211871322,6.06347933930363,1.06714,7.2491,Amphibia,Anura,Alytidae
Ambloplites_rupestris,Ambloplites rupestris,0.0016094136727429268,0.0024578603218487942,1.6853307279027991,0.00136,3.0144,Actinopterygii,Perciformes,Centrarchidae
Ambystoma_mexicanum,Ambystoma mexicanum,0.003489037445886314,0.012992483621845763,4.540942228439998,0.01457,3.065,Amphibia,Caudata,Ambystomatidae
Ammocrypta_pellucida,Ammocrypta pellucida,0.009224891652104565,0.034574729654958926,4.572376852382041,0.1236,2.3599,Actinopterygii,Perciformes,Percidae
Ammodramus_savannarum,Ammodramus savannarum,0.027199785561115082,0.027199785561115082,1.0,0.36901,3.2461,Aves,Passeriformes,Emberizidae
Anas_platyrhynchos,Anas platyrhynchos,0.007214461791290058,0.007214461791290058,1.0,1.15653,3.0225,Aves,Anseriformes,Anatidae
Anser_anser,Anser anser,0.007776286782325313,0.007776286782325313,1.0,0.23922,6.2127,Aves,Anseriformes,Anatidae
Anser_caerulescens,Anser Anser caerulescens;Chen caerulescens,0.005777877224386648,0.005777877224386648,1.0,0.40829,6.5116,Aves,Anseriformes,Anatidae
Antechinus_agilis,Antechinus agilis,0.013298342541436465,0.013298342541436465,1.0,0.06328,2.1502,Mammalia,Dasyuromorphia,Dasyuridae
Arctocephalus_australis,Arctocephalus australis,0.001203998696077366,0.001203998696077366,1.0,0.08107,9.1669,Mammalia,Carnivora,Otariidae
Bonasa_umbellus,Bonasa umbellus,0.008277618747270874,0.008277618747270874,1.0,3.2061,2.2694,Aves,Galliformes,Phasianidae
Branta_leucopsis,Branta leucopsis,0.008180002496567218,0.008180002496567218,1.0,0.36138,10.9709,Aves,Anseriformes,Anatidae
Buteo_lineatus,Buteo lineatus,0.008158999236890875,0.008158999236890875,1.0,0.52666,4.3479,Aves,Accipitriformes,Accipitridae
Callorhinus_ursinus,Callorhinus ursinus,0.0008992055342376913,0.0008992055342376913,1.0,0.06989,10.3859,Mammalia,Carnivora,Otariidae
Callospermophilus_lateralis,Callospermophilus lateralis,0.019083913902464385,0.019083913902464385,1.0,0.59142,1.6268,Mammalia,Rodentia,Sciuridae
Calyptorhynchus_lathami,Calyptorhynchus lathami,0.007673461652995478,0.007673461652995478,1.0,0.33329,12.8645,Aves,Psittaciformes,Psittacidae
Campylorhynchus_brunneicapillus,Campylorhynchus brunneicapillus sandiegensis,0.01938175658845215,0.01938175658845215,1.0,1.98554,4.3672,Aves,Passeriformes,Troglodytidae
Canis_lupus,Canis lupus,0.005009889773138819,0.005009889773138819,1.0,0.19968,4.3041,Mammalia,Carnivora,Canidae
Caretta_caretta,Caretta caretta,0.0014004748209135158,0.0014004748209135158,1.0,0.04297,27.3872,Reptilia,Testudines,Cheloniidae
Catostomus_catostomus,Catostomus catostomus,0.0025098098859315586,0.0025098098859315586,1.0,0.27977,2.662,Actinopterygii,Cypriniformes,Catostomidae
Catostomus_platyrhynchus,Catostomus platyrhynchus,0.003062046303525552,0.007547112053672155,2.904146736278095,0.15602,3.6269,Actinopterygii,Cypriniformes,Catostomidae
Cebus_capucinus,Cebus capucinus,0.002182188069458237,0.002182188069458237,1.0,0.353,24.6153,Mammalia,Primates,Cebidae
Cercopithecus_mitis,Cercopithecus mitis,0.005932655595933576,0.005932655595933576,1.0,0.09369,21.4894,Mammalia,Primates,Cercopithecidae
Cervus_canadensis,Cervus canadensis,0.0019881028256818604,0.003077941838185231,1.712634526721959,0.10049,8.2991,Mammalia,Artiodactyla,Cervidae
