comadre_species,amp_key,method
Acipenser fulvescens,Acipenser_fulvescens,exact
Acipenser transmontanus,Acipenser_transmontanus,exact
Acropora cervicornis,,
Acropora downingi,,
Acyrthosiphon pisum,Acyrthosiphon_pisum,exact
Agaricia agaricites,,
Ailuropoda melanoleuca,Ailuropoda_melanoleuca,exact
Alces alces,Alces_alces,exact
Alouatta seniculus,,
Alytes muletensis,Alytes_muletensis,exact
Amazona vittata,,
Ambloplites rupestris,Ambloplites_rupestris,exact
Ambystoma mexicanum,Ambystoma_mexicanum,exact
Ammocrypta pellucida,Ammocrypta_pellucida,exact
Ammodramus savannarum,Ammodramus_savannarum,exact
Amphimedon compressa,,
Amphiprion percula,,
Anas laysanensis,,
Anas platyrhynchos,Anas_platyrhynchos,exact
Anser Anser caerulescens,Anser_caerulescens,dedup_genus
Anser anser,Anser_anser,exact
Antechinus agilis,Antechinus_agilis,exact
Anthropoides paradiseus,Grus_paradisea,gbif_synonym
Aquila fasciata,,
Arctocephalus australis,Arctocephalus_australis,exact
Astroblepus ubidiai,,
Bonasa umbellus,Bonasa_umbellus,exact
Bostrychia hagedash,,
Brachyrhaphis rhabdophora,,
Brachyteles hypoxanthus,,
Branta leucopsis,Branta_leucopsis,exact
Buteo lineatus,Buteo_lineatus,exact
Buteo solitarius,,
Calidris temminckii,,
Callinectes sapidus,,
Callorhinus ursinus,Callorhinus_ursinus,exact
Callospermophilus lateralis,Callospermophilus_lateralis,exact
Calyptorhynchus lathami,Calyptorhynchus_lathami,exact
Campylorhynchus brunneicapillus sandiegensis,Campylorhynchus_brunneicapillus,trinomial
Canis lupus,Canis_lupus,exact
Cardisoma guanhumi,,
Caretta caretta,Caretta_caretta,exact
Catostomus catostomus,Catostomus_catostomus,exact
Catostomus platyrhynchus,Catostomus_platyrhynchus,exact
Cebus capucinus,Cebus_capucinus,exact
Centrocercus minimus,,
Cephaloleia fenestrata,,
Cercopithecus mitis,Cercopithecus_mitis,exact
Certhia americana,,
Cervus canadensis,Cervus_canadensis,exact
Cervus elaphus,Cervus_elaphus,exact
Chasmistes liorus,Chasmistes_liorus,exact
Chelodina expansa,,
Chelonia mydas,Chelonia_mydas,exact
Chelydra serpentina,Chelydra_serpentina,exact
Chen caerulescens,Anser_caerulescens,gbif_accepted
Chlorocebus aethiops,Chlorocebus_aethiops,exact
Chrosomus oreas,Chrosomus_oreas,exact
Chrysemys picta,Chrysemys_picta,exact
Ciconia ciconia,Ciconia_ciconia,exact
Circus Circus maillardi,,
Clemmys guttata,Clemmys_guttata,exact
Clethrionomys rufocanus,Myodes_rufocanus,gbif_accepted
Clinocottus analis,Clinocottus_analis,exact
Clinocottus globiceps,Clinocottus_globiceps,exact
Clinostomus elongatus,Clinostomus_elongatus,exact
Clinostomus funduloides,,
Colias alexandra,,
Connochaetes taurinus,Connochaetes_taurinus,exact
Coragyps atratus,Coragyps_atratus,exact
Coregonus huntsmani,,
Coregonus reighardi,Coregonus_reighardi,exact
Coregonus zenithicus,Coregonus_zenithicus,exact
Cottus bairdi,Cottus_bairdii,gbif_accepted
Cottus confusus,Cottus_confusus,exact
Crassostrea virginica,Crassostrea_virginica,exact
Crocodylus acutus,Crocodylus_acutus,exact
Crocodylus johnsoni,Crocodylus_johnsoni,exact
Crocodylus niloticus,Crocodylus_niloticus,exact
Cryptobranchus alleganiensis alleganiensis,Cryptobranchus_alleganiensis,trinomial
Cryptophis nigrescens,,
Cyphastrea microphthalma,,
Cyprinus carpio,Cyprinus_carpio,exact
Dama dama,Dama_dama,exact
Dasypus novemcinctus,Dasypus_novemcinctus,exact
Diadema antillarum,,
Didelphis aurita,Didelphis_aurita,exact
Dipsastrea pallida,,
Drymarchon couperi,,
Eidolon helvum,Eidolon_helvum,exact
Elephas maximus,Elephas_maximus,exact
Emydura macquarii,Emydura_macquarii,exact
Epidalea calamita,Epidalea_calamita,exact
Epinephelus morio,Epinephelus_morio,exact
Erimyzon sucetta,Erimyzon_sucetta,exact
Erythrocebus patas,Erythrocebus_patas,exact
Etheostoma flabellare,Etheostoma_flabellare,exact
Eubalaena australis,Eubalaena_australis,exact
Eubalaena glacialis,Eubalaena_glacialis,exact
Eulamprus tympanum,,
Eumetopias jubatus,Eumetopias_jubatus,exact
Falco naumanni,Falco_naumanni,exact
Falco peregrinus,Falco_peregrinus,exact
Felis catus,Felis_catus,exact
Forpus passerinus,Forpus_passerinus,exact
Fratercula arctica,Fratercula_arctica,exact
Fulmarus glacialis,Fulmarus_glacialis,exact
Gavia immer,Gavia_immer,exact
Geocrinia alba,,
Geocrinia vitellina,Geocrinia_vitellina,exact
Giraffa camelopardalis,Giraffa_camelopardalis,exact
