species,n_matrices,mean_log_damping,mean_generation_time,class,order,family
Acipenser fulvescens,13,0.24793,11.5273,Actinopterygii,Acipenseriformes,Acipenseridae
Acipenser transmontanus,1,0.23861,16.0101,Actinopterygii,Acipenseriformes,Acipenseridae
Acropora cervicornis,2,0.27029,,Anthozoa,Scleractinia,Acroporidae
Acropora downingi,1,0.40619,,Anthozoa,Scleractinia,Acroporidae
Acyrthosiphon pisum,3,0.11184,3.7035,Insecta,Aphidomorpha,Aphididae
Agaricia agaricites,4,0.72568,,Anthozoa,Scleractinia,Agariciidae
Ailuropoda melanoleuca,1,0.11176,6.3224,Mammalia,Carnivora,Ursidae
Alces alces,11,0.30556,8.8736,Mammalia,Artiodactyla,Cervidae
Alouatta seniculus,4,0.22764,11.2308,Mammalia,Primates,Atelidae
Alytes muletensis,1,1.06714,7.2491,Amphibia,Anura,Alytidae
Amazona vittata,1,0.57887,10.9029,Aves,Psittaciformes,Psittacidae
Ambloplites rupestris,3,0.00136,3.0144,Actinopterygii,Perciformes,Centrarchidae
Ambystoma mexicanum,1,0.01457,3.065,Amphibia,Caudata,Ambystomatidae
Ammocrypta pellucida,2,0.1236,2.3599,Actinopterygii,Perciformes,Percidae
Ammodramus savannarum,2,0.36901,3.2461,Aves,Passeriformes,Emberizidae
Amphimedon compressa,3,0.16778,8.8617,Demospongiae,Haplosclerida,Niphatidae
Amphiprion percula,1,0.02264,,Actinopterygii,Perciformes,Pomacentridae
Anas laysanensis,3,1.10064,4.0688,Aves,Anseriformes,Anatidae
Anas platyrhynchos,2,1.15653,3.0225,Aves,Anseriformes,Anatidae
Anser Anser caerulescens,1,0.45808,6.0105,Aves,Anseriformes,Anatidae
Anser anser,3,0.23922,6.2127,Aves,Anseriformes,Anatidae
Antechinus agilis,3,0.06328,2.1502,Mammalia,Dasyuromorphia,Dasyuridae
Anthropoides paradiseus,12,0.10283,11.8012,Aves,Gruiformes,Gruidae
Aquila fasciata,1,0.61099,9.6898,Aves,Accipitriformes,Accipitridae
Arctocephalus australis,1,0.08107,9.1669,Mammalia,Carnivora,Otariidae
Astroblepus ubidiai,7,0.11873,3.626,Actinopterygii,Siluriformes,Astroblepidae
Bonasa umbellus,9,3.2061,2.2694,Aves,Galliformes,Phasianidae
Bostrychia hagedash,1,0.21536,7.0887,Aves,Pelecaniformes,Threskiornithidae
Brachyrhaphis rhabdophora,2,0.16413,14.3585,Actinopterygii,Cyprinodontiformes,Poeciliidae
Brachyteles hypoxanthus,52,0.31604,29.2983,Mammalia,Primates,Atelidae
Branta leucopsis,2,0.36138,10.9709,Aves,Anseriformes,Anatidae
Buteo lineatus,1,0.52666,4.3479,Aves,Accipitriformes,Accipitridae
Buteo solitarius,4,0.3416,16.0468,Aves,Accipitriformes,Accipitridae
Calidris temminckii,2,1.08909,4.8218,Aves,Charadriiformes,Scolopacidae
Callinectes sapidus,3,0.09674,2.8683,Malacostraca,Decapoda,Portunidae
Callorhinus ursinus,1,0.06989,10.3859,Mammalia,Carnivora,Otariidae
Callospermophilus lateralis,19,0.59142,1.6268,Mammalia,Rodentia,Sciuridae
Calyptorhynchus lathami,2,0.33329,12.8645,Aves,Psittaciformes,Psittacidae
Campylorhynchus brunneicapillus sandiegensis,3,1.98554,4.3672,Aves,Passeriformes,Troglodytidae
Canis lupus,1,0.19968,4.3041,Mammalia,Carnivora,Canidae
Cardisoma guanhumi,2,0.31452,5.3368,Malacostraca,Decapoda,Gecarcinidae
Caretta caretta,5,0.04297,27.3872,Reptilia,Testudines,Cheloniidae
Catostomus catostomus,1,0.27977,2.662,Actinopterygii,Cypriniformes,Catostomidae
Catostomus platyrhynchus,1,0.15602,3.6269,Actinopterygii,Cypriniformes,Catostomidae
Cebus capucinus,46,0.353,24.6153,Mammalia,Primates,Cebidae
Centrocercus minimus,14,0.30922,5.0547,Aves,Charadriiformes,Stercorariidae
Cephaloleia fenestrata,1,0.0566,9.6364,Insecta,Coleoptera,Chrysomelidae
Cercopithecus mitis,29,0.09369,21.4894,Mammalia,Primates,Cercopithecidae
Certhia americana,1,0.27117,2.7135,Aves,Passeriformes,Certhiidae
Cervus canadensis,8,0.10049,8.2991,Mammalia,Artiodactyla,Cervidae
Cervus elaphus,4,0.10312,8.356,Mammalia,Artiodactyla,Cervidae
Chasmistes liorus,1,0.05212,48.9294,Actinopterygii,Cypriniformes,Catostomidae
Chelodina expansa,2,0.14755,21.3772,Reptilia,Testudines,Chelidae
Chelonia mydas,2,0.06766,36.165,Reptilia,Testudines,Cheloniidae
Chelydra serpentina,1,0.11767,57.8806,Reptilia,Testudines,Chelydridae
Chen caerulescens,7,0.35851,7.0126,Aves,Anseriformes,Anatidae
Chlorocebus aethiops,7,0.5514,6.1925,Mammalia,Primates,Cercopithecidae
Chrosomus oreas,3,0.00027,2.002,Actinopterygii,Cypriniformes,Cyprinidae
Chrysemys picta,5,0.0588,13.1873,Reptilia,Testudines,Emydidae
Ciconia ciconia,29,0.45817,5.3645,Aves,Ciconiiformes,Ciconiidae
Circus Circus maillardi,1,0.65378,,Aves,Accipitriformes,Accipitridae
Clemmys guttata,8,0.23777,27.5062,Reptilia,Testudines,Emydidae
Clethrionomys rufocanus,2,0.3105,4.7509,Mammalia,Rodentia,Muridae
Clinocottus analis,23,0.32761,5.2874,Actinopterygii,Scorpaeniformes,Cottidae
Clinocottus globiceps,2,0.08611,,Actinopterygii,Scorpaeniformes,Cottidae
Clinostomus elongatus,1,0.08752,2.2232,Actinopterygii,Cypriniformes,Cyprinidae
Clinostomus funduloides,3,0.008,2.0418,Actinopterygii,Cypriniformes,Cyprinidae
Colias alexandra,1,0.0,7.0,Insecta,Lepidoptera,Pieridae
Connochaetes taurinus,2,0.10163,7.3212,Mammalia,Artiodactyla,Bovidae
Coragyps atratus,2,0.11585,13.4806,Aves,Accipitriformes,Cathartidae
Coregonus huntsmani,1,1.63464,4.6516,Actinopterygii,Salmoniformes,Salmonidae
Coregonus reighardi,1,1.14146,4.3169,Actinopterygii,Salmoniformes,Salmonidae
Coregonus zenithicus,1,1.45381,4.5364,Actinopterygii,Salmoniformes,Salmonidae
Cottus bairdi,3,0.06944,2.3034,Actinopterygii,Scorpaeniformes,Cottidae
Cottus confusus,1,0.34994,3.2386,Actinopterygii,Scorpaeniformes,Cottidae
Crassostrea virginica,9,0.20247,,Bivalvia,Ostreoida,Ostreidae
Crocodylus acutus,3,0.22534,12.9775,Reptilia,Crocodylia,Crocodylidae
Crocodylus johnsoni,5,0.09498,20.6251,Reptilia,Crocodylia,Crocodylidae
Crocodylus niloticus,3,0.08772,25.2737,Reptilia,Crocodylia,Crocodylidae
Cryptobranchus alleganiensis alleganiensis,1,0.39139,7.3114,Amphibia,Caudata,Cryptobranchidae
Cryptophis nigrescens,1,0.23548,5.379,Reptilia,Squamata,Elapidae
Cyphastrea microphthalma,1,0.45909,,Anthozoa,Scleractinia,Faviidae
Cyprinus carpio,1,0.3987,4.7519,Actinopterygii,Cypriniformes,Cyprinidae
Dama dama,1,0.05919,7.013,Mammalia,Artiodactyla,Cervidae
Dasypus novemcinctus,3,0.31948,4.0535,Mammalia,Cingulata,Dasypodidae
Diadema antillarum,10,0.10055,,Echinoidea,Diadematoida,Diadematidae
Didelphis aurita,1,0.24091,3.8178,Mammalia,Didelphimorphia,Didelphidae
Dipsastrea pallida,1,0.42638,,Anthozoa,Scleractinia,Merulinidae
Drymarchon couperi,1,0.75171,5.5548,Reptilia,Squamata,Colubridae
Eidolon helvum,1,0.4506,5.3866,Mammalia,Chiroptera,Pteropodidae
Elephas maximus,2,0.06714,19.43,Mammalia,Proboscidea,Elephantidae
Emydura macquarii,2,0.17002,41.0902,Reptilia,Testudines,Chelidae
Epidalea calamita,1,0.25746,7.3271,Amphibia,Anura,Bufonidae
Epinephelus morio,1,0.06118,26.3537,Actinopterygii,Perciformes,Serranidae
Erimyzon sucetta,2,0.54415,4.1662,Actinopterygii,Cypriniformes,Catostomidae
Erythrocebus patas,10,0.38364,3.6792,Mammalia,Primates,Cercopithecidae
Etheostoma flabellare,3,0.01416,2.1017,Actinopterygii,Perciformes,Percidae
Eubalaena australis,1,0.12575,32.7003,Mammalia,Cetacea,Balaenidae
Eubalaena glacialis,1,0.12831,27.6044,Mammalia,Cetacea,Balaenidae
Eulamprus tympanum,13,0.06114,,Reptilia,Squamata,Scincidae
Eumetopias jubatus,18,0.03605,10.2882,Mammalia,Carnivora,Otariidae
Falco naumanni,6,0.91601,4.5827,Aves,Falconiformes,Falconidae
Falco peregrinus,15,0.61893,9.8656,Aves,Falconiformes,Falconidae
Felis catus,3,0.68689,2.5311,Mammalia,Carnivora,Felidae
Forpus passerinus,16,0.54972,1.7659,Aves,Psittaciformes,Psittacidae
Fratercula arctica,1,0.19129,15.9725,Aves,Charadriiformes,Alcidae
Fulmarus glacialis,2,0.08974,26.8905,Aves,Procellariiformes,Procellariidae
Gavia immer,2,0.30867,14.9698,Aves,Gaviiformes,Gaviidae
Geocrinia alba,4,0.20035,2.5765,Amphibia,Anura,Myobatrachidae
Geocrinia vitellina,3,0.15861,2.4606,Amphibia,Anura,Myobatrachidae
Giraffa camelopardalis,9,0.36011,13.8598,Mammalia,Artiodactyla,Giraffidae
Globicephala macrorhynchus,1,0.06078,9.588,Mammalia,Cetacea,Delphinidae
Goniastrea aspera,2,0.2218,,Anthozoa,Scleractinia,Faviidae
Goniastrea favulus,2,0.21531,,Anthozoa,Scleractinia,Faviidae
Gorgonia ventalina,2,0.08779,12.6743,Anthozoa,Alcyonacea,Gorgoniidae
Gorilla beringei beringei,84,0.35621,32.419,Mammalia,Primates,Hominidae
Gyps coprotheres,1,0.26237,11.904,Aves,Accipitriformes,Accipitridae
Gyps fulvus,1,0.30299,20.5374,Aves,Falconiformes,Accipitridae
Haliaeetus albicilla,2,0.0641,11.2142,Aves,Accipitriformes,Accipitridae
Haliaeetus leucocephalus,1,0.11027,13.9997,Aves,Accipitriformes,Accipitridae
