species,kappa,L_m,n_maint_core,n_repro_core
Mytilus_edulis,0.9965,4.1674,1,1
Ictalurus_punctatus,0.9944,0.65076,3,1
Dreissena_polymorpha,0.9932,0.84699,1,1
Carcinus_maenas,0.9851,0.46464,1,2
Salmo_trutta,0.9681,8.6375,1,2
Carassius_auratus,0.9576,10.377,5,2
Lithobates_catesbeianus,0.9556,5.4308,1,1
Eurytemora_affinis,0.9383,0.010504,1,1
Pimephales_promelas,0.9326,0.20018,5,5
Americamysis_bahia,0.9121,0.082353,5,3
Asellus_aquaticus,0.9089,0.15173,2,1
Gammarus_pulex,0.8942,0.1114,3,2
Artemia_salina,0.8901,0.15956,3,1
Hyalella_azteca,0.8754,0.19694,2,3
Pomatoschistus_minutus,0.8717,1.136,1,1
Xenopus_laevis,0.7712,4.516,2,1
Paracentrotus_lividus,0.7582,0.36569,1,2
Lepomis_macrochirus,0.7525,4.4177,4,1
Oncorhynchus_mykiss,0.6194,4.3981,6,4
Daphnia_magna,0.5809,0.1516,6,5
Oryzias_latipes,0.4705,0.18883,4,4
Ceriodaphnia_dubia,0.4562,0.02422,2,2
Chironomus_riparius,0.4424,0.61942,3,3
Ceriodaphnia_reticulata,0.4251,0.041908,1,1
Salmo_salar,0.4175,4.83,1,1
Danio_rerio,0.3576,0.22178,4,4
Cyprinus_carpio,0.3392,6.3743,5,1
