species,k_M,E_m,lambda_max,g,T_A,T_typical,Ww_i,CTmax,CTmin,lat,class
Abrothrix_andinus,0.6279954266624286,195264.0571907212,0.026565694812570994,0.04230236986558673,8000.0,310.65,34.52320988644948,34.0,26.8,-34.46,Mammalia
Abrothrix_longipilis,0.30007199067996015,128673.10216036721,0.018888141068784493,0.06294536529712137,8000.0,310.65,64.41405135973581,32.0,27.3,-45.54,Mammalia
Abrothrix_olivaceus,0.47292361067878996,150473.27195258363,0.02653304339604803,0.05610428998874681,8000.0,310.65,26.97384365834216,,26.3,,Mammalia
Acanthodactylus_erythrurus,0.006296409380625318,4081.3080936208594,0.015357188498402554,2.439039072913232,8000.0,298.15,6.099018640452974,46.3,,36.97,Lepidosauria
Acomys_cahirinus,0.28193463567946403,89484.24153971722,0.026193486980760076,0.09290624019157359,8000.0,310.65,44.43103215061733,,27.0,,Mammalia
Acontias_meleagris,0.005775893119103874,11315.316165824577,0.004149619429722457,0.7184377106975045,8000.0,298.15,586.3387976045906,41.0,,-33.1,Lepidosauria
Acridotheres_cristatellus,0.15411263070740155,78222.66234414019,0.01570228897739815,0.10188839750072488,9000.0,314.75,118.90982889960591,32.5,25.0,27.29,Aves
Acrobates_pygmaeus,0.034073867480971354,17783.945543497535,0.015050957481337232,0.4417155607517251,8000.0,307.84999999999997,13.073139444610375,35.1,34.0,-37.57,Mammalia
Adamussium_colbecki,0.009353217929062583,2547.790807811959,0.02181445353672793,2.332293944413018,7071.5651,271.65,56.210093551487034,2.0,,-67.5,Bivalvia
Aegolius_acadicus,0.07272467539214501,60491.23851310627,0.009451147282060281,0.1299579163619216,9000.0,313.34999999999997,123.00798879412291,32.0,24.0,42.28,Aves
Aegolius_funereus,0.06894087195013156,55561.83581008635,0.00980952380952381,0.1422889431485511,9000.0,313.34999999999997,117.0055839223828,,10.0,,Aves
Aegotheles_cristatus,0.13057890668637864,86446.06094126818,0.012596482505748555,0.09646644182741161,9000.0,312.84999999999997,60.06109741474612,34.8,31.3,-30.35,Aves
Aepyprymnus_rufescens,0.13515500177727377,207607.50001007758,0.00509366111336855,0.03768755167317119,8000.0,308.15,3705.0057833251262,33.0,25.0,-28.92,Mammalia
Agelaius_phoeniceus,0.12999731015897362,40998.92722974808,0.02410342283022081,0.18541478128081845,9000.0,314.75,40.25687668690843,40.0,27.5,42.5,Aves
Agosia_chrysogaster,0.04751136472247236,7350.388301341199,0.034376205787781354,0.72353648413559,8000.0,286.15,10.948397433623311,38.2,,33.0,Actinopteri
Ailurus_fulgens,0.05920220608039208,107617.08465700907,0.005092763492871691,0.0860232047088939,8000.0,310.75,4117.87260004069,36.0,25.0,33.1,Mammalia
Akodon_azarae,1.257525368626576,285893.5051396296,0.0353598500575333,0.028118597795090256,8000.0,309.34999999999997,25.406699416559263,32.0,30.0,-37.8,Mammalia
Alaemon_alaudipes,0.4587485405680481,165573.3499782785,0.020540225765991755,0.044774476536879444,9000.0,314.04999999999995,37.12566675821573,37.5,32.7,22.15,Aves
Alauda_arvensis,0.06380535298985333,14872.213349437363,0.03414549888234098,0.535151006652545,9000.0,314.75,25.230009778995022,35.1,22.2,52.52,Aves
Alectoris_chukar,0.11100133950159148,92433.66409144367,0.009569132425704539,0.08620735991719579,9000.0,313.84999999999997,528.6714431112978,38.5,28.0,30.86,Aves
Alle_alle,0.08526145738815748,44387.17811607867,0.015631692459041203,0.18333832118159865,9000.0,313.84999999999997,145.6281731509348,20.0,4.5,79.0,Aves
Alosa_pseudoharengus,0.008573704696289623,13929.805809384823,0.006258131208713629,0.7299214785671254,8000.0,290.15,645.05948280631,32.8,6.0,42.4,Actinopteri
Ambystoma_jeffersonianum,0.00628139685049342,3231.705906682186,0.016649701130378176,2.6506367177024166,8000.0,288.15,7.2438069230584805,34.0,,40.23,Amphibia
Ambystoma_macrodactylum,0.0024476407275979026,2458.336592291462,0.008852466307877062,3.616734354867845,8000.0,290.15,15.700746217529614,35.0,,44.9,Amphibia
Ambystoma_maculatum,0.0026570494740384564,2013.4124911511303,0.010025693730729703,3.773243151356013,8000.0,290.15,12.873490952545696,38.5,,35.55,Amphibia
Ameiurus_melas,0.0019130639330116879,2087.920995536292,0.004875934208523317,2.548756538861332,9000.0,298.15,3940.8405051834156,38.1,,39.0,Actinopteri
Ameiurus_natalis,0.006576265469931979,2711.717628094922,0.013320143207084984,2.0254874545420014,8000.0,295.15,1738.2527749738358,37.9,,39.5,Actinopteri
Ammospermophilus_leucurus,0.16454629925102773,102836.10307008299,0.01517782478233066,0.0922404505687226,8000.0,310.65,133.54463357899223,34.0,31.0,34.6,Mammalia
Amphispiza_bilineata,0.6511968210998065,184944.95224050735,0.026005228136882132,0.03993451333647774,9000.0,314.75,17.705578618721944,36.0,,38.33,Aves
Anas_aucklandica,0.08403100502896131,81944.39543504197,0.008688069246172728,0.10339123330940028,9000.0,313.34999999999997,407.15246101184636,37.0,30.0,-40.7,Aves
Anas_castanea,0.08422505654972604,85161.92904798142,0.0076885700403006825,0.09128601814308537,9000.0,313.34999999999997,608.8615903143619,,24.0,,Aves
Anas_gracilis,0.5891730793436718,361391.101854756,0.013527784762383704,0.02296062945960364,9000.0,313.34999999999997,448.8555131614515,39.0,30.0,-40.7,Aves
Anniella_pulchra,0.002393768320609486,2201.2677397686693,0.015996053971486766,6.682373491940084,8000.0,298.15,5.115521481830301,34.0,,34.01,Lepidosauria
Anolis_carolinensis,0.0034819272804133233,2604.555297764333,0.018906365035807508,5.429856373555056,9625.0,300.15,4.593638218915964,41.7,4.7,31.32,Lepidosauria
Anolis_gundlachi,0.016156202143950995,7615.846667062028,0.020469441984056685,1.2669711483970632,9000.0,298.15,3.0265705669509773,35.7,6.3,18.29,Lepidosauria
Anolis_sagrei,0.021578406404353843,10120.891190307599,0.03515445366390083,1.6291496695885648,9625.0,293.15,2.468215816296679,40.5,,25.72,Lepidosauria
Anoura_caudifer,0.6041205733320908,153065.07050342252,0.03642519564996442,0.0602945790259342,8000.0,309.65,11.29983715143704,35.0,26.0,-19.07,Mammalia
Anoura_latidens,1.1284394750267148,351088.79353795794,0.0325502025094174,0.028845324210806076,8000.0,308.65,18.258302431791986,36.2,34.7,-18.29,Mammalia
Aotus_trivirgatus,0.004302489451107938,1456.7053149367343,0.03879018342174218,9.015753289471352,8000.0,311.15,1002.0553258670853,30.0,28.0,-16.3,Mammalia
Aphelocoma_coerulescens,0.07743194498264792,41414.66315557374,0.014463770728190344,0.1867933284051123,9000.0,314.75,81.17506968683674,34.0,12.4,33.71,Aves
Aplodontia_rufa,0.037437946859217704,104762.6573517592,0.0069491903134749665,0.18561889463668566,8000.0,311.15,1065.4402129864718,,26.5,,Mammalia
Apodemus_agrarius,0.17003849663474677,99043.26787514558,0.014566145092460878,0.0856638077890671,8000.0,310.65,36.57038529488165,27.5,25.0,48.29,Mammalia
Apodemus_mystacinus,1.0949381384170478,340390.1477128464,0.026187505997505037,0.023916881765909,8000.0,308.34999999999997,56.92975521553511,,28.0,,Mammalia
Apodemus_speciosus,0.25638445933057935,77104.65516676109,0.03061599321842328,0.11941438766749646,8000.0,310.65,34.519018589888255,30.0,25.0,48.29,Mammalia
Arborimus_longicaudus,0.2863145683195003,156227.52799059203,0.014868083119308893,0.051929188258131184,8000.0,311.25,50.12555847666513,,23.0,,Mammalia
Arctictis_binturong,0.146809649817927,407585.1338036422,0.0038878945655711037,0.026482554589516847,8000.0,309.84999999999997,13938.130570502577,36.0,27.0,16.02,Mammalia
Arctogalidia_trivirgata,0.009557742779409182,44916.25383247933,0.0037834087921717525,0.39584752168917714,8000.0,309.34999999999997,2409.4200089416545,,19.0,,Mammalia
Argopecten_purpuratus,0.02176916596461668,1338.1349247179064,0.03973754357186796,1.8254049620668447,8129.0,289.15,241.65246304279046,29.0,,-14.25,Bivalvia
Artibeus_cinereus,0.4097457282628503,158733.18674907018,0.03386295928500497,0.08264383726114655,8000.0,308.65,15.045837841459416,34.0,28.0,16.06,Mammalia
Artibeus_concolor,0.7130101885121035,216321.25751163214,0.02700876595144649,0.03787991586460761,8000.0,308.65,19.92856986232895,,29.0,,Mammalia
Artibeus_jamaicensis,0.3365337616914701,166158.8262501961,0.01924236082042696,0.05717809923055539,8000.0,308.65,42.72436560570561,35.0,25.0,-20.05,Mammalia
Artibeus_lituratus,0.3213218923282989,163622.634734299,0.01792121767317314,0.055773410094519145,8000.0,308.65,70.59022752195486,36.0,25.0,-23.5,Mammalia
Astrapia_stephaniae,0.9311338532600024,361343.9825146488,0.019089535323007178,0.020501386837319478,9000.0,313.15,132.3262418549231,,23.0,,Aves
Atelerix_albiventris,0.1418260763262397,63521.22534093702,0.017588756148981026,0.12401637699206992,8000.0,308.15,459.2778315305144,35.0,30.0,-0.48,Mammalia
Athene_cunicularia,0.21618676742056384,138841.52174245298,0.011857808979933987,0.05484983711730205,9000.0,313.34999999999997,156.78737431067174,37.0,25.0,32.5,Aves
Aulacorhynchus_prasinus,0.07054884343283976,39646.69492686046,0.01435892657472978,0.2035317076232301,9000.0,314.95,138.14904306680026,,23.0,,Aves
Aulacorhynchus_sulcatus,0.039224673199646586,30994.897893967183,0.00942459872489027,0.2402722051225448,9000.0,314.95,176.6855947445375,31.0,23.0,9.34,Aves
Auliscomys_boliviensis,0.36844121825096093,142804.91897765992,0.020583834531318762,0.055867350100059214,8000.0,310.65,54.95798743021912,31.0,22.7,-34.46,Mammalia
Austrelaps_superbus,0.0022523058894661045,6113.093820475604,0.0033682239947908196,1.4954558395215298,8000.0,301.65,437.080790924011,41.2,3.0,-38.3,Lepidosauria
Aythya_novaeseelandiae,0.1307355908861913,139954.10195066172,0.008031346549948507,0.06143198264151344,9000.0,313.34999999999997,681.5830962974004,,16.0,,Aves
Baiomys_taylori,0.17826081946817335,63162.50137134644,0.028312031827593315,0.1588236378137381,8000.0,309.15,7.966722509620415,,29.0,,Mammalia
Basiliscus_vittatus,0.11104450873225145,86752.18848065594,0.010383917486390986,0.09351131005882068,9000.0,298.15,124.59591831308687,43.1,,10.58,Lepidosauria
Bathygobius_soporator,0.0031064987321279187,2485.185599864407,0.0067942107321930225,2.1870959295512282,9000.0,300.45,34.24542674846131,39.3,,-23.8,Actinopteri
Bettongia_gaimardi,0.06372759614976554,106537.20107158621,0.004688592680497573,0.07357240761881183,8000.0,308.75,1726.6574949812477,20.0,10.0,-40.42,Mammalia
Blarina_brevicauda,0.03507282249439236,15830.392229843792,0.019625455931188418,0.5595630615222441,8000.0,311.45,20.410299220931197,31.0,27.0,42.5,Mammalia
Boreogadus_saida,0.09088175834376572,27386.25500931779,0.032265400969049736,0.3550261521900128,8000.0,274.15,164.1533703597627,20.0,-2.0,71.0,Actinopteri
Bradypus_variegatus,0.025024847077606754,84636.65949360759,0.0036162869047455344,0.14450785227700888,8000.0,306.15,5099.251226029154,,18.0,,Mammalia
Branta_bernicla,0.23861361792926597,244120.07834594927,0.007860702677604086,0.03294322740596596,9000.0,314.34999999999997,1311.0051094331461,,6.0,,Aves
Bubo_virginianus,0.08794789786018795,95795.05353316541,0.0068856682769726256,0.07829258509303852,9000.0,313.34999999999997,1603.0627753547665,32.2,20.3,33.27,Aves
Cabassous_centralis,0.13904008956012257,240522.66768674005,0.00457338316336226,0.032892550471097584,8000.0,306.75,3807.3486011335426,32.5,27.5,8.38,Mammalia
Callipepla_californica,0.006766699430297975,7938.330212437571,0.0072328656911550245,1.068891232078343,9000.0,312.04999999999995,140.4396012924273,37.5,27.5,34.07,Aves
Callipepla_gambelii,0.08031852855795883,54865.28594201583,0.011054234282850867,0.13762994020581434,9000.0,313.84999999999997,166.13479005230926,40.5,27.0,42.07,Aves
Callithrix_pygmaea,0.010127389952738847,16932.38535131263,0.011231935093106458,1.1090651338125772,8000.0,308.34999999999997,154.4276409443518,,27.0,,Mammalia
Callorhinus_ursinus,0.001032126944474462,10364.239709952231,0.0008992055342376914,0.8712160253655121,8000.0,310.84999999999997,53475.68497308939,,5.4,,Mammalia
Calomys_callosus,0.5848250303108232,55719.24178128608,0.08342670401493929,0.14265241686150062,8000.0,309.75,45.6432161019598,,28.0,,Mammalia
Calomys_musculinus,0.38853924322470496,150601.97312235707,0.021439393939393942,0.05517948138637527,8000.0,309.75,23.95544859994025,,27.0,,Mammalia
Caluromys_derbianus,0.4673881788905806,389015.9044653576,0.009416791283913692,0.020147688172743112,8000.0,308.15,376.4583488527345,35.0,26.36,9.08,Mammalia
Campostoma_anomalum,0.004301116455533775,1558.3994840967848,0.015376096648928526,3.574908237870608,8000.0,293.15,296.2812093630738,29.8,,34.2,Actinopteri
Canis_latrans,0.19631659703474422,286737.47154224984,0.005570017755733929,0.028372627887127362,8000.0,310.15,13460.811035404133,26.0,22.0,33.4,Mammalia
Canis_mesomelas,0.2537645867029152,345484.15749888436,0.005930829117784235,0.0233713820940962,8000.0,311.15,8842.521088800137,27.5,22.5,-30.33,Mammalia
Cannomys_badius,0.18190724011760498,197535.37470046914,0.007601734371112768,0.041789069891875474,8000.0,309.15,659.6466704247207,34.5,26.74,15.52,Mammalia
Caprimulgus_macrurus,0.08514659880487349,54246.599405716435,0.01182526895691492,0.13888128384334342,9000.0,312.84999999999997,67.09312994582166,,26.0,,Aves
Capromys_pilorides,0.0525685252512916,120380.22313584872,0.004194231070700737,0.0797859755557378,8000.0,308.84999999999997,2450.278791218189,37.0,24.0,21.07384,Mammalia
Carcinus_maenas,0.019691136363636366,1735.2946547675524,0.050684400826446284,2.5739703331720967,9003.3781,288.15,148.97138048413203,35.1,,38.0,Malacostraca
Cardinalis_cardinalis,0.12193478647311598,37917.77623931864,0.02469558599695586,0.20253109642670108,9000.0,314.75,42.85993994293725,42.6,29.0,32.13,Aves
Cardinalis_sinuatus,0.61772969053948,207265.39371071878,0.022032723772858514,0.035667257232879224,9000.0,313.34999999999997,37.20030055185793,42.8,30.0,32.13,Aves
Carollia_perspicillata,0.04621191132861251,6630.936244496351,0.07098000975134079,1.5359678427192192,8000.0,309.54999999999995,16.914518286164213,35.0,29.0,-20.06,Mammalia
Carpiodes_cyprinus,0.00437496967458039,6886.2199056224035,0.004300986842105264,0.983089521076001,8000.0,291.15,3268.554993561466,38.8,,40.0,Actinopteri
Cepphus_grylle,0.1580389999150116,103947.42987033539,0.012719286251452794,0.08048194596455827,9000.0,313.84999999999997,428.9102257707916,,7.0,,Aves
Cerastoderma_edule,0.006048046488671655,1012.7173507363574,0.014761393853341655,2.440687895007191,5290.0,286.15,9.950592182252722,33.98,-6.18,53.0,Bivalvia
Cercartetus_concinnus,0.12982879823354146,56456.69889427219,0.018050200645212056,0.13903079201844418,8000.0,310.84999999999997,18.839373176222157,,28.0,,Mammalia
Cercartetus_lepidus,0.25521636381174034,79153.66812341145,0.025402292664549804,0.09953238219194964,8000.0,308.75,9.995847257779051,33.0,29.0,-35.48,Mammalia
Cercartetus_nanus,0.03372553524601599,24409.141295497477,0.010847361452619634,0.3216364506446502,8000.0,310.84999999999997,42.898810466152916,35.0,31.0,-42.52,Mammalia
Cercopithecus_mitis,0.0595880635113555,96534.11131576089,0.005932655595933577,0.09956114104636091,8000.0,310.65,4156.0044785169475,25.0,7.0,-1.17,Mammalia
Cerdocyon_thous,0.03618584353157146,31799.60127415657,0.00942942546510641,0.2605832708274277,8000.0,311.34999999999997,6686.625627827996,,25.0,,Mammalia
Chaetodipus_hispidus,0.19974703169775007,91895.19997392889,0.018295423956931355,0.09159297037572667,8000.0,310.65,46.95942634568539,33.5,30.5,28.1,Mammalia
Chaetodipus_intermedius,0.06099504000269229,30691.85440557667,0.017737978730345143,0.29081018275522397,8000.0,310.65,19.60752066242093,36.0,33.0,35.21,Mammalia
Chaetodipus_penicillatus,1.112554135904346,410756.2025720894,0.02247588063719991,0.020202055712938646,8000.0,308.34999999999997,21.9393955450434,,31.0,,Mammalia
Chaetophractus_nationi,0.05991309996554679,105097.77081440573,0.00461379054172939,0.07700804238776769,8000.0,308.65,2171.202463474917,35.0,29.0,-16.17,Mammalia
Chaetophractus_vellerosus,0.036634399273931154,60375.525013840605,0.004884813611243351,0.13333953082504504,8000.0,308.65,1098.9739007762507,35.0,30.0,-35.0,Mammalia
Chaetophractus_villosus,0.08861072250636334,78024.21524754194,0.009082007147779542,0.1024933201185369,8000.0,308.25,2988.518062369181,35.0,29.0,-35.0,Mammalia
Chalinolobus_gouldii,0.8221306183771995,199712.63745795874,0.03358124185429196,0.04084660162709649,8000.0,304.25,17.507001969078832,,35.0,,Mammalia
Chasmistes_brevirostris,0.1341247408374695,187699.23015123105,0.004336225394159903,0.03232979513760612,8000.0,286.15,3293.623376525447,32.7,,42.5,Actinopteri
Chelemys_macronyx,0.3272363041240079,136247.7156595575,0.01948888888888889,0.05955601088045376,8000.0,310.65,61.91519991517646,,26.4,,Mammalia
Chironectes_minimus,0.7919731244229289,941483.4458495771,0.006599989472021899,0.00833360283132206,8000.0,308.15,941.7913863245018,,24.5,,Mammalia
Chlamydotis_undulata,0.07255967466635103,81493.84918507109,0.006583167923779277,0.09072763837559168,9000.0,313.4,1745.1192609686414,,29.0,,Aves
Choeroniscus_godmani,0.4521859492660505,121053.55894865034,0.03378188096141837,0.0747079404308122,8000.0,308.65,10.09677614393531,,32.0,,Mammalia
Choloepus_hoffmanni,0.04500275211087688,122347.5673676366,0.003135837574243612,0.06968101787458683,8000.0,307.54999999999995,7980.393712268667,,24.0,,Mammalia
Chordeiles_minor,0.07956631554827218,41006.65943722596,0.01442435014441235,0.1812871445035208,9000.0,312.84999999999997,83.93672922891847,39.0,30.0,45.16,Aves
Chrotopterus_auritus,0.8616227365292775,316402.7121295837,0.02315155807365439,0.026869715818911323,8000.0,309.65,96.10809776476098,34.0,28.0,-19.37,Mammalia
Chrysemys_picta,0.0031872606732181296,12410.258980109977,0.0023002664193029947,0.7217063977953364,8000.0,293.15,2229.3616961852445,42.3,,46.72,Archelosauria
Cicinnurus_regius,0.7830950497446139,274972.4388098099,0.021024725016452004,0.02684824150441083,9000.0,313.34999999999997,52.563390618483815,,20.0,,Aves
Cinclus_mexicanus,0.253451609732926,127504.91407461344,0.01488210818307906,0.05871774970678246,9000.0,314.75,53.44183977249933,34.0,11.5,46.88,Aves
Clinocottus_globiceps,0.0036923182136942836,3077.1557431445563,0.006668192369307223,1.805963620517821,8000.0,283.25,133.4615494142296,25.3,,43.36,Chordata
Clupea_harengus,0.006594480643924875,1167.7549994479637,0.04000922934933089,6.067078138471624,6114.0,284.15,971.1052870625142,21.1,,45.09,Chordata
Cnemophilus_loriae,0.33592336379022597,163234.44802053622,0.015217271157167532,0.04529982965599933,9000.0,313.34999999999997,79.8653387829242,32.0,20.0,-6.66,Aves
Cnemophilus_macgregorii,0.3495420591283839,175480.98553834768,0.014686624883317779,0.0420167602146084,9000.0,313.34999999999997,95.25075314670767,,15.0,,Aves
Coendou_prehensilis,0.0576654047127519,246545.54065236414,0.0038086657055902613,0.06604767146892196,8000.0,309.84999999999997,4573.566829800726,34.0,26.0,-8.517152,Mammalia
Coereba_flaveola,1.7915146235367763,340751.34433926526,0.03915911111111112,0.021858102968651125,9000.0,313.34999999999997,9.589987614710347,35.0,25.0,18.19,Aves
Coleonyx_variegatus,0.034411126910846204,12626.096351785749,0.02194666487539464,0.6377781504295104,9625.0,298.15,9.333288647331923,43.0,7.6,34.12,Lepidosauria
Colius_colius,0.01660395019100329,8206.356095377649,0.014966544674873386,0.9013845803381706,9000.0,313.65,45.00501865852592,35.0,29.0,-33.07,Aves
Colius_striatus,0.009702209112799978,2755.7721932937798,0.026103723796326334,2.6904928035294646,9000.0,313.54999999999995,55.7036476261292,,29.0,,Aves
Collocalia_esculenta,0.039207823056647384,19495.460514348862,0.017434657096044318,0.44467291822998584,9000.0,311.25,8.475964836037809,34.0,31.5,-5.13,Aves
Colobus_guereza,0.2466856133819438,636814.753427378,0.0037648486271747005,0.015261727571220695,8000.0,310.15,12440.767208932215,28.0,5.0,-1.17,Mammalia
Coluber_constrictor,0.0025668394586391688,4325.029775758594,0.0046932534288891626,1.8284172050936642,8000.0,299.15,1489.7709012913617,42.4,,42.08,Lepidosauria
Columba_vitiensis,0.026588111812279148,30145.364908396,0.006487688783113502,0.24400712727999374,9000.0,313.65,516.0315073947996,34.0,22.0,-6.66,Aves
Columbina_inca,0.06676755650897565,40847.76651663091,0.01227771207397054,0.18388739555445663,9000.0,313.65,47.24296863340926,35.0,32.0,32.13,Aves
Condylura_cristata,0.136546862912053,22006.31787667089,0.05077355836849509,0.3718398012644002,8000.0,310.84999999999997,54.089619405241734,,24.5,,Mammalia
Corvus_caurinus,0.0713969262233715,42802.530335505384,0.012799470354568191,0.17927200835682947,9000.0,314.75,299.9924745035672,,-7.0,,Aves
Cottus_cognatus,0.03546836646427752,2835.414708194502,0.06979384337086361,1.9677772146951704,8000.0,280.15,13.499247543716386,29.4,3.5,42.2,Actinopteri
