# Tissue contaminant concentrations, Iberian Mytilus galloprovincialis. Transcribed from
# Albentosa M., Vinas L., Besada V., Franco A., Gonzalez-Quijano A. (2012). First
# measurements of the scope for growth (SFG) in mussels from a large scale survey in the
# North-Atlantic Spanish coast. Sci. Total Environ. 435-436:430-445, Table 6.
# doi:10.1016/j.scitotenv.2012.07.025 . Spanish Marine Pollution monitoring programme
# (SMP); 2007 & 2008 surveys. Same sites/surveys as the SFG table in
# sfg_albentosa2012_iberia.csv. This is the PRESSURE side of the margin validation.
#
# Site key = "<code-name>_<year>" (matches the SFG file). Units as published:
#   metals Cd,Cu,Hg,Pb,Zn and Ar (arsenic): mg/kg dry wt;
#   organochlorines chlordanes, DDTs, PCB7 (sum of 7 PCBs): ug/kg dry wt;
#   PAHs PAH_3ring,PAH_4ring,PAH_5ring,PAH_6ring, PAH13 (sum of 13 PAHs): ug/kg dry wt;
#   CPI = chemical pollution index (the authors' own aggregate, used here as the
#         published naive-aggregate baseline).
# "nd" = not determined / below limit (09-Corrubedo_2007 PAH_6ring was "bLC" in source).
site,Cd,Cu,Hg,Pb,Zn,Ar,chlordanes,DDTs,PCB7,PAH_3ring,PAH_4ring,PAH_5ring,PAH_6ring,PAH13,CPI
02-Oia_2007,1.10,5.08,0.14,1.19,296,11.12,0.44,0.34,0.95,11.9,13.0,5.4,2.9,33.2,6.2
03-VigoSamil_2007,0.72,6.93,0.12,2.76,278,10.03,0.41,1.38,59.12,21.8,43.1,30.9,8.1,103.9,31.5
06-Pont.Loira_2007,0.82,4.39,0.12,1.12,167,9.70,0.25,0.55,4.89,7.1,18.0,4.9,2.2,32.2,4.8
07-Pont.Raxo_2007,0.66,4.72,0.25,0.97,142,9.19,0.55,2.37,13.76,15.4,53.0,18.6,5.4,92.3,18.1
08-Arosa_2007,0.72,5.33,0.10,0.75,230,8.82,0.40,1.23,5.26,21.7,68.1,27.2,8.8,125.8,9.2
09-Corrubedo_2007,1.86,4.13,0.07,0.63,239,11.03,0.39,0.28,1.29,11.1,9.6,3.4,nd,24.1,4.3
11-MurosSA_2007,0.87,4.39,0.09,0.80,130,10.48,0.63,1.98,5.08,23.6,45.3,13.0,4.4,86.4,12.7
14-Corme_2007,0.61,5.23,0.06,0.66,143,8.16,0.29,0.80,2.76,13.0,19.9,9.8,3.4,46.1,3.2
16-CoruñaTC_2007,0.47,5.06,0.09,2.81,170,7.90,0.66,1.72,40.36,12.6,79.6,43.5,12.5,148.3,25.9
18-Ares_2007,0.60,5.89,0.14,0.79,233,11.19,0.32,1.45,22.56,15.9,59.3,36.8,12.1,124.0,25.3
20-FerrolPías_2007,0.58,6.37,0.11,2.29,277,9.10,0.34,7.71,69.72,13.7,91.2,58.2,15.9,179.0,46.3
21-Cedeira_2007,0.91,6.45,0.08,0.55,157,8.79,0.28,1.11,7.82,22.2,58.6,50.5,9.2,140.4,12.4
24-Ribadeo_2007,0.37,5.19,0.10,0.96,199,9.38,0.60,2.14,12.37,14.9,30.6,18.7,3.8,68.0,15.4
27-Pravia_2007,0.54,5.87,0.22,1.96,209,10.49,0.49,1.20,9.74,79.5,173.2,85.1,35.9,373.7,23.3
28-Avilés_2007,1.21,7.54,0.44,22.91,261,10.11,0.34,1.48,41.00,302.3,1298.5,581.1,223.1,2405.0,50.8
31-S.Vicente_2007,0.54,6.09,0.44,2.30,280,15.12,0.69,1.33,8.63,18.1,68.5,75.7,13.0,175.3,37.9
33-Sant.Pantalán_2007,0.71,7.58,0.19,5.15,291,13.25,1.32,3.38,98.95,27.0,253.2,550.4,98.1,928.8,84.0
36-CastroUrdiales_2007,0.45,8.08,0.15,3.01,226,10.93,0.13,2.10,32.18,11.1,43.4,36.8,10.7,102.0,46.8
37-Bilbao_2007,0.75,9.10,0.21,4.94,310,12.01,0.28,2.59,91.85,27.3,210.8,158.9,47.2,444.2,80.3
40-Igueldo_2007,0.56,6.33,0.16,1.59,227,15.68,0.30,1.62,41.56,8.5,17.4,20.8,5.2,51.9,40.3
01-AGuarda_2008,0.93,4.07,0.06,1.30,207,12.40,1.22,1.25,3.04,8.6,17.6,2.9,0.9,30.0,10.9
03-VigoSamil_2008,0.38,5.55,0.10,2.28,171,10.92,0.74,2.02,52.52,10.8,31.9,8.5,3.5,54.8,29.9
05-CaboHome_2008,0.72,3.85,0.04,0.98,149,10.98,1.30,1.08,9.80,8.7,21.5,3.9,0.7,34.8,8.5
07-Pont.Raxo_2008,0.50,3.93,0.14,0.98,115,11.95,0.70,2.04,12.74,17.1,67.1,27.0,8.5,119.7,23.1
08-Arosa_2008,0.42,5.40,0.05,0.50,102,9.96,0.44,1.46,5.25,18.5,73.8,22.1,7.4,121.7,13.1
10-MurosF_2008,0.76,7.43,0.06,1.19,191,13.15,0.44,1.42,8.80,9.6,39.9,13.8,2.2,68.2,30.7
13-Muxía_2008,0.39,5.61,0.07,1.08,161,10.65,0.37,3.47,7.01,7.6,21.0,6.9,1.1,36.6,21.4
16-CoruñaTC_2008,0.37,3.92,0.07,2.49,127,9.55,0.49,2.14,51.84,15.1,116.4,73.2,18.8,223.6,30.2
17-Mera_2008,0.45,5.55,0.21,3.05,272,12.10,0.84,1.84,51.12,12.3,113.3,69.2,15.8,210.6,51.9
20-FerrolPías_2008,0.40,10.31,0.13,2.36,349,11.04,0.70,8.65,77.28,12.8,85.8,49.8,13.0,161.5,64.3
23-Viveiro_2008,0.51,4.53,0.06,1.10,159,14.75,0.35,1.32,14.84,8.1,29.2,20.1,5.4,62.8,23.5
26-Luarca_2008,0.55,7.87,0.17,3.53,320,14.72,0.38,0.83,3.43,4.4,18.4,7.2,2.5,32.6,28.6
28-Avilés_2008,1.03,6.48,0.28,17.79,243,10.05,0.31,1.28,26.78,62.9,397.7,157.0,54.2,671.8,39.5
30-Ribadesella_2008,0.62,6.75,0.69,3.26,188,10.67,0.11,0.77,4.25,8.6,43.3,22.6,8.0,82.4,19.2
