# Tissue contaminant concentrations, Irish Sea Mytilus edulis (PHASE I, June-July 1996,
# eastern Irish Sea: SW/NW England, Wales, SW Scotland). Transcribed from:
#   Widdows J., Donkin P., Staff F.J., Matthiessen P., Law R.J., Allen Y.T., Thain J.E.,
#   Allchin C.R., Jones B.R. (2002). Measurement of stress effects (scope for growth) and
#   contaminant levels in mussels (Mytilus edulis) collected from the Irish Sea.
#   Mar. Environ. Res. 53(4):327-356, Table 1A. doi:10.1016/S0141-1136(01)00120-9
# Same group/method as the validated Widdows et al. 1995 (sfg_widdows1995_*). Units as
# published: metals (Cr,Ni,Cu,Zn,As,Se,Cd,Hg,Pb) ug/g dry wt; organotins (TBT,DBT) ug/g;
# organochlorines (Dieldrin,DDE=p,p'-DDE,TDE=p,p'-TDE,HCB,gHCH,PCB=Sum25CBs) ug/g;
# PAH = sum 2+3-ring polyaromatic hydrocarbons ug/g (the validated toxic-hydrocarbon axis).
# Ag was below detection throughout Phase I (omitted). "nd" = below detection / not determined.
# PROVENANCE NOTE: metals + TBT/DBT + PAH read cleanly (each row passes an 18-field count
# and cross-checks vs Fig 3 / text). The sparse middle organochlorines are lower-confidence
# (column alignment with many nd's is ambiguous at image resolution); they feed only the
# minor reproduction axis. The paper states organochlorines are NOT at toxic levels here.
site,Cr,Ni,Cu,Zn,As,Se,Cd,Hg,Pb,TBT,DBT,Dieldrin,DDE,TDE,HCB,gHCH,PCB,PAH
Loch Creran N,1.0,0.7,9.3,54,9.3,3.9,0.83,nd,0.6,nd,nd,0.005,nd,nd,nd,nd,nd,0.25
Mull of Kintyre,1.3,1.8,13.6,108,17.9,4.8,1.14,0.11,0.8,0.04,0.04,nd,nd,nd,nd,nd,nd,0.39
Loch Striven,3.0,3.0,5.7,78,11.4,15.6,1.34,nd,1.1,0.05,nd,0.010,0.005,0.005,nd,nd,0.083,2.71
Kirkcolm,1.8,2.0,5.8,76,15.2,16.3,1.15,0.11,1.0,0.15,0.06,nd,nd,nd,nd,nd,0.029,0.96
Silloth,1.6,1.6,5.5,65,7.5,5.0,1.24,0.12,1.8,nd,nd,nd,0.005,nd,nd,nd,nd,0.85
St. Bees,3.5,1.7,3.8,96,13.3,20.8,2.59,0.21,2.0,0.03,nd,nd,nd,0.011,nd,nd,nd,0.91
Bootle,1.3,1.0,3.8,75,7.5,3.9,1.23,0.18,2.3,nd,nd,nd,nd,0.009,nd,nd,nd,0.48
Barrow,1.4,0.9,10.2,131,12.5,6.2,0.85,0.16,2.9,0.05,0.03,nd,nd,0.009,nd,nd,0.004,1.66
Blackpool,1.0,1.4,8.0,142,15.9,35.9,0.57,0.32,4.9,0.04,0.03,nd,0.009,0.027,nd,nd,0.023,3.29
Southport,1.4,1.2,7.8,101,10.1,14.0,0.37,0.21,2.8,0.08,0.04,0.011,0.017,0.062,nd,nd,0.123,3.33
New Brighton,0.6,0.8,8.9,147,8.9,3.3,0.37,0.16,3.6,0.09,0.05,0.016,0.016,0.058,nd,nd,0.184,4.47
Llandudno,0.6,0.6,5.0,50,7.9,10.4,nd,0.10,2.0,nd,0.03,nd,nd,0.008,nd,0.008,0.004,1.22
Bangor Flats,1.3,1.2,7.5,70,10.6,13.6,nd,0.13,3.4,0.06,nd,nd,0.001,nd,nd,nd,0.005,1.04
Hen Borth,1.5,1.6,8.0,69,14.3,4.0,0.21,0.33,2.5,nd,nd,nd,nd,nd,nd,nd,nd,0.32
Llanddwyn Bay,0.7,0.4,4.3,52,6.5,2.5,nd,0.10,1.1,nd,nd,0.005,0.002,0.004,nd,0.004,0.013,0.28
Abersoch,1.5,1.3,7.4,108,14.8,5.7,1.27,0.13,26.2,nd,nd,0.003,0.002,0.001,nd,0.002,0.009,2.53
Borth,1.4,1.4,7.8,114,15.6,6.0,1.19,0.13,24.1,nd,nd,0.004,0.002,0.001,nd,0.003,0.020,0.13
Aberporth,1.8,2.2,6.8,124,11.3,5.3,1.47,0.10,14.7,nd,nd,0.002,0.002,nd,nd,0.005,0.007,0.13
Fishguard,1.9,2.6,8.5,113,31.1,23.4,1.59,0.16,2.7,0.16,0.06,0.004,nd,nd,nd,0.004,0.010,3.03
St. Brides,4.2,2.8,9.7,79,16.9,5.4,1.08,0.20,2.6,0.04,nd,0.002,0.002,nd,nd,0.002,0.015,2.97
St. Ishmaels,1.2,1.2,7.6,71,16.2,17.7,1.02,0.08,2.5,0.38,0.11,0.003,0.002,nd,nd,0.002,0.009,22.48
Port Quin,1.7,1.7,7.4,202,20.2,44.8,1.05,0.10,1.7,0.05,0.03,nd,nd,nd,nd,nd,nd,0.32
Zennor,1.9,1.6,10.3,116,17.8,5.5,1.25,0.10,2.9,0.06,0.04,nd,nd,nd,nd,nd,0.003,0.38
