# Station-level Stress-on-Stress (survival-in-air) + co-located tissue
# contaminants, Mytilus edulis, ICES DOME 2024 OSPAR CEMP (UK, 2012-2022).
# Generated by scripts/extract_dome_sos.jl from the gitignored raw DOME biota
# data (figshare 27211422, CC BY 4.0). survt_median_d = median survival-in-air
# days (higher = more resilient). Contaminants/size = station medians (ug/kg DW;
# LNMEA mm; DRYWT %), years pooled. SCB7 = sum-7 PCB (median of reported SCB7,
# else sum of the 7 ICES congener medians). No organotins at these stations.
station_code,station_name,latitude,survt_n,survt_median_d,LNMEA,DRYWT,CD,CU,HG,PB,ZN,NAP,ACNLE,ACNE,FLE,PA,ANT,SCB7
10717,"Clyde_ClydeEstuaryOuter_sh01",55.932,80,6.0,5.1,16.335,1287.1,8850.0,169.49,9286.3,127030.0,4.9898,2.8686,6.25,9.0909,57.333,13.609,107.9
13210,"Hebrides_LochRoag_sh06",58.203,40,12.0,4.95,16.96,895.08,5477.6,613.21,625.0,121520.0,1.2195,0.4717,0.54238,1.3008,8.3624,1.1792,nd
13226,"MinchMalin_LochErisort_sh02",58.102,40,13.5,5.0,15.32,1158.0,5015.7,146.0,2373.8,125870.0,1.3055,0.52219,0.4859,1.3969,9.7911,1.3055,nd
13674,"MinchMalin_LochCreran_sh03",56.546,40,9.0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
7039,"Clyde_LochLongNorth_sh01",56.186,158,6.0,5.1,18.63,1285.2,5900.9,112.89,1189.3,84197.0,1.3493,0.55479,1.0222,1.8863,14.188,2.3171,37.298
7050,"Clyde_LochRyan_sh01",54.936,80,9.0,4.4,16.47,1096.3,6192.6,163.68,1595.0,77263.0,2.2409,0.54907,0.89253,2.2185,20.384,2.3529,12.601
7128,"EScotland_CarnoustieFifeN_sh01",56.334,80,9.0,4.947,14.57,660.0,5515.0,257.0,2160.0,92805.0,9.3778,2.945,2.2689,14.552,19.403,3.2612,nd
7132,"EScotland_DonEstSouterHd_sh01",57.142,280,9.0,5.1,16.75,1276.4,7346.5,247.52,2096.6,97181.0,1.1173,0.50388,0.76669,1.5746,15.972,1.9785,9.3783
7148,"EScotland_LowerTayEstuary_sh03",56.467,119,8.0,4.549,14.71,967.0,5980.0,229.3,2760.0,80014.0,6.4947,3.3958,1.9566,11.876,32.314,3.012,nd
7158,"EScotland_MontroseBasin_sh01",56.702,118,10.0,5.18,16.84,640.0,6660.0,233.15,2529.7,89830.0,2.5482,1.711,1.4493,1.931,14.533,2.5023,nd
7182,"EScotland_YthanEstuary_sh01",57.321,112,8.0,5.2,17.55,853.22,6495.7,196.9,1986.9,71599.0,1.0615,0.46021,0.90054,2.0074,14.914,1.7112,29.182
7213,"Forth_ElieBuckhaven_sh01",56.21,79,6.0,4.752,13.78,614.5,6419.0,179.9,2350.0,85885.0,10.894,4.1449,3.7972,12.633,26.897,5.4128,nd
7238,"Forth_KinghornLeithDocks_sh02",55.984,80,9.0,4.929,15.43,993.03,6970.0,304.65,5840.0,118410.0,16.424,13.209,6.7088,19.821,38.706,21.646,nd
7244,"Forth_LeithDocksPortSeton_sh01",55.95,70,8.0,4.685,16.475,1070.0,6190.0,228.7,4300.0,112340.0,9.2204,7.9929,2.8584,17.483,30.722,11.169,nd
7903,"IrishSea_BalcaryPoint_sh01",54.814,80,8.0,nd,16.86,1487.3,5753.4,216.99,2533.9,74733.0,2.3725,0.4745,0.55316,1.6902,11.057,1.1862,8.7782
8083,"MinchMalin_LochEwe_sh01",57.84,80,11.0,5.601,15.82,1150.0,4870.0,113.43,1310.0,88280.0,9.038,1.2119,2.2525,2.778,9.2175,1.3338,nd
8774,"MorayF_MorayFirth_sh01",57.502,40,9.0,5.319,13.75,930.0,5930.0,288.79,2190.0,84507.0,17.838,4.7033,5.3996,14.687,13.745,3.7651,nd
8781,"MorayF_OuterCromartyFirth_sh05",57.661,80,7.0,5.882,13.13,885.0,5965.0,242.5,2145.0,97310.0,18.388,3.7485,4.7758,12.646,21.713,2.4015,nd
