# Station-YEAR Stress-on-Stress panel, Mytilus edulis, ICES DOME 2024 OSPAR CEMP.
# One row per SURVT station-year; contaminants/size matched to nearest year with
# data at the same station within +/-2 yr (contam_lag = yr offset used, 99=none).
# survt_median_d = median survival-in-air days. Generated by scripts/extract_dome_sos_yearly.jl.
station_code,station_name,year,survt_median_d,survt_n,contam_lag,LNMEA,DRYWT,CD,CU,HG,PB,ZN,NAP,ACNLE,ACNE,FLE,PA,ANT,SCB7
10717,"Clyde_ClydeEstuaryOuter_sh01",2017,8.0,40,0,5.69,18.29,1281.3,6036.4,152.05,5576.8,100800.0,2.187,0.92947,1.6002,2.2635,21.05,5.2632,70.712
10717,"Clyde_ClydeEstuaryOuter_sh01",2022,5.0,40,99,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
13210,"Hebrides_LochRoag_sh06",2021,12.0,40,0,4.95,16.96,895.08,5477.6,613.21,625.0,121520.0,1.2195,0.4717,0.54238,1.3008,8.3624,1.1792,nd
13226,"MinchMalin_LochErisort_sh02",2021,13.5,40,0,5.0,15.32,1158.0,5015.7,146.0,2373.8,125870.0,1.3055,0.52219,0.4859,1.3969,9.7911,1.3055,nd
13674,"MinchMalin_LochCreran_sh03",2022,9.0,40,99,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
7039,"Clyde_LochLongNorth_sh01",2013,5.0,40,0,nd,19.82,992.48,3838.5,165.26,2080.6,51755.0,2.0197,0.85838,1.1123,2.6711,13.503,2.2847,27.35
7039,"Clyde_LochLongNorth_sh01",2017,9.0,40,0,nd,17.71,1897.2,6041.8,160.36,1332.6,88650.0,1.0164,0.45172,0.45737,1.6657,8.2902,2.3715,36.017
7039,"Clyde_LochLongNorth_sh01",2021,8.0,38,0,nd,21.13,785.95,6446.8,179.84,577.9,69965.0,1.3493,0.3998,1.0222,2.0388,14.656,1.4332,nd
7039,"Clyde_LochLongNorth_sh01",2022,5.0,40,1,nd,21.13,785.95,6446.8,179.84,577.9,69965.0,1.3493,0.3998,1.0222,2.0388,14.656,1.4332,nd
7050,"Clyde_LochRyan_sh01",2013,9.0,40,0,nd,16.21,884.99,4353.1,116.26,1122.5,48524.0,1.7382,0.49863,1.0581,2.3412,19.744,2.6178,9.857
7050,"Clyde_LochRyan_sh01",2017,10.0,40,0,nd,18.49,1213.7,5913.8,164.64,1281.1,75896.0,1.0929,0.48573,0.89253,1.7144,15.118,1.0817,12.601
7128,"EScotland_CarnoustieFifeN_sh01",2016,7.0,40,2,4.8,12.94,660.0,5260.0,203.0,2550.0,93400.0,595.36,5.1777,7.9598,19.011,111.05,5.1005,nd
7128,"EScotland_CarnoustieFifeN_sh01",2020,10.0,40,1,5.3,15.9,590.0,4480.0,254.75,1890.0,74200.0,6.2893,3.1447,3.1447,6.2893,8.805,3.1447,nd
7132,"EScotland_DonEstSouterHd_sh01",2012,8.0,40,99,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
7132,"EScotland_DonEstSouterHd_sh01",2016,8.0,40,0,5.1,15.43,1263.2,7368.4,212.5,2657.9,92105.0,1.1842,0.51847,1.0369,2.1452,25.599,5.1458,16.915
7132,"EScotland_DonEstSouterHd_sh01",2018,8.0,40,1,5.4,16.11,1669.8,6773.2,218.53,2031.9,111820.0,1.1173,0.49659,0.34121,1.246,13.291,1.5974,9.3783
7132,"EScotland_DonEstSouterHd_sh01",2019,12.0,40,0,5.4,16.11,1669.8,6773.2,218.53,2031.9,111820.0,1.1173,0.49659,0.34121,1.246,13.291,1.5974,9.3783
7132,"EScotland_DonEstSouterHd_sh01",2020,9.0,40,0,5.0,17.62,1964.8,13264.0,280.13,2988.4,157400.0,1.0216,0.45403,0.64392,1.1044,8.7401,1.1351,6.2764
7132,"EScotland_DonEstSouterHd_sh01",2021,13.0,40,1,5.0,17.46,999.42,9049.3,534.73,1461.1,98511.0,2.2875,0.63001,1.1572,2.7047,17.125,2.0619,6.2764
7132,"EScotland_DonEstSouterHd_sh01",2022,9.5,40,2,5.0,17.46,999.42,9049.3,534.73,1461.1,98511.0,2.2875,0.63001,1.1572,2.7047,17.125,2.0619,6.2764
7148,"EScotland_LowerTayEstuary_sh03",2012,8.0,39,0,5.14,15.08,2117.3,7443.0,427.42,3742.1,80056.0,1.4191,0.92838,0.92838,0.92838,11.87,1.1737,nd
7148,"EScotland_LowerTayEstuary_sh03",2016,10.0,40,2,5.2,13.87,595.0,5030.0,121.18,1560.0,66700.0,10.815,3.6049,37.924,38.645,216.29,47.152,nd
7148,"EScotland_LowerTayEstuary_sh03",2020,8.0,40,1,5.15,19.39,552.0,5320.0,138.71,1540.0,54200.0,5.1573,2.5786,2.5786,5.1573,17.019,2.5786,nd
7158,"EScotland_MontroseBasin_sh01",2012,8.0,38,0,5.06,17.14,160.0,1150.0,47.7,430.0,13300.0,0.98589,0.80955,0.80955,0.80955,10.062,0.80955,nd
7158,"EScotland_MontroseBasin_sh01",2016,10.0,40,0,5.2,16.84,944.41,6947.7,240.5,2529.7,87292.0,1.0689,0.47506,0.55947,1.8468,14.704,2.4941,nd
7158,"EScotland_MontroseBasin_sh01",2020,10.5,40,1,5.4,16.91,649.0,5280.0,225.91,2160.0,77600.0,5.9137,2.9568,2.9568,5.9137,10.053,2.9568,nd
7182,"EScotland_YthanEstuary_sh01",2012,8.0,33,99,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
7182,"EScotland_YthanEstuary_sh01",2016,7.0,39,0,5.3,17.55,797.72,6324.6,184.62,1886.0,67236.0,2.1494,0.45584,1.265,2.906,22.891,2.5597,52.208
7182,"EScotland_YthanEstuary_sh01",2020,9.0,40,0,5.1,17.22,1232.5,9588.7,309.68,2361.8,100200.0,1.0453,0.46458,0.51801,1.1092,8.1882,1.1614,9.4183
7213,"Forth_ElieBuckhaven_sh01",2015,5.0,40,1,5.067,14.42,700.0,6130.0,224.0,2560.0,102000.0,224.27,4.5076,8.0444,12.344,59.778,9.4313,nd
