chemical_cas,chemical,species,n_records,LC50_ugL,amp_k_M,amp_p_M,amp_L_m
121755,Malathion,Aedes_aegypti,105,271.98,1.9238071189303336,8430.0545,0.012842
121755,Malathion,Ameiurus_melas,4,15448.0,0.0019130639330116879,10.0472,13.7951
121755,Malathion,Americamysis_bahia,12,3.5777,0.48524754580446533,2097.09,0.082353
121755,Malathion,Anabas_testudineus,2,13740.0,0.05094456213524228,266.3508,0.5224
121755,Malathion,Anguilla_japonica,2,6715.7,0.003925598162742606,20.5164,8.0414
121755,Malathion,Anguilla_rostrata,6,202.48,0.0387701025231052,204.1684,6.6469999999999985
121755,Malathion,Anodonta_anatina,4,652.92,0.003173363538810063,7.4522,1.1296999999999997
121755,Malathion,Anodonta_cygnea,4,5769.3,0.008205923036827628,19.3246,3.0637999999999996
121755,Malathion,Artemia_salina,4,37030.0,0.09278276996816942,413.4776,0.15956
121755,Malathion,Asellus_aquaticus,5,60000.0,0.11903396386004811,527.5728,0.15173
121755,Malathion,Barbonymus_gonionotus,1,6520.0,0.36780834486889435,1928.5484,2.1315
121755,Malathion,Brachionus_plicatilis,5,67000.0,3.1059693873952097,4843.5201,0.007584200000000001
121755,Malathion,Branchiura_sowerbyi,1,4570.0,0.5360302089438875,2240.8514,0.2359
121755,Malathion,Carassius_auratus,4,10996.0,0.0033209014876856235,17.3679,10.3766
121755,Malathion,Ceriodaphnia_dubia,20,2.1547,0.2937497576803086,1306.1892,0.024220000000000002
121755,Malathion,Channa_punctata,34,3793.8,0.0031511837971466617,16.4884,5.893
121755,Malathion,Channa_striata,1,8000.0,0.0025951850574036086,13.5931,13.9121
121755,Malathion,Chironomus_riparius,67,111.7,0.036122964519984355,145.1326,0.61942
121755,Malathion,Chrysoperla_carnea,2,288460.0,0.13539805308794722,573.1113773386194,0.4215
121755,Malathion,Cirrhinus_mrigala,2,2179.3,0.0031715838868482827,16.5913,1.9455999999999998
121755,Malathion,Clarias_batrachus,4,1928.7,0.006903925484291505,36.023,6.5515
